Gemeinden in Deutschland nach Fläche und Bevölkerung am 31.12.1990 (Jahr) zum Gebietsstand 01.01.1991 ;;;;;;;;;;;;
;;;;;;;;;;;;
Satz-art;;Gemeindeschlüssel;;;;;Gemeindename;Fläche in km2;Bevölkerung;;;
;;Land;RB;Kreis;;Gem;;;insgesamt;männlich;weiblich;je km2
;;Gebietsstand am 01.01.1991;;;;;;am 31.12.1990 (Jahr);;;;
;;;;;;;;;;;;
60;;7;1;40;;123;Reich;4,76;303;149;154;64
60;;7;1;40;;125;Rheinböllen;16,33; 3 329; 1 657; 1 672;204
60;;7;1;40;;126;Riegenroth;3,14;154;82;72;49
60;;7;1;40;;127;Riesweiler;16,81;716;346;370;43
60;;7;1;40;;128;Rödelhausen;2,56;125;61;64;49
60;;7;1;40;;129;Rödern;2,72;162;74;88;60
60;;7;1;40;;130;Rohrbach;3,76;177;90;87;47
60;;7;1;40;;131;Roth;3,87;205;99;106;53
60;;7;1;40;;133;Sankt Goar, Stadt;22,92; 3 163; 1 539; 1 624;138
60;;7;1;40;;134;Sargenroth;12,72;452;221;231;36
60;;7;1;40;;135;Schlierschied;8,6;217;102;115;25
60;;7;1;40;;138;Schnorbach;3,42;173;85;88;51
60;;7;1;40;;139;Schönborn;3,9;218;105;113;56
60;;7;1;40;;140;Schwall;1,77;210;106;104;119
60;;7;1;40;;141;Schwarzen;3,88;130;59;71;34
60;;7;1;40;;144;Simmern/ Hunsrück, Stadt;11,89; 6 330; 2 946; 3 384;532
60;;7;1;40;;145;Sohren;9,44; 1 985;968; 1 017;210
60;;7;1;40;;146;Sohrschied;4,46;101;50;51;23
60;;7;1;40;;147;Spesenroth;3,51;178;89;89;51
60;;7;1;40;;148;Steinbach;2,6;106;48;58;41
60;;7;1;40;;149;Thörlingen;2,24;136;66;70;61
60;;7;1;40;;150;Tiefenbach;5,79;741;366;375;128
60;;7;1;40;;151;Todenroth;1,56;77;40;37;49
60;;7;1;40;;153;Uhler;5,58;327;164;163;59
60;;7;1;40;;154;Unzenberg;5,49;394;202;192;72
60;;7;1;40;;156;Utzenhain;4,47;136;69;67;30
60;;7;1;40;;158;Wahlbach;4,34;167;85;82;38
60;;7;1;40;;159;Wahlenau;4,46;155;78;77;35
60;;7;1;40;;161;Wiebelsheim;7,32;362;175;187;49
60;;7;1;40;;163;Womrath;8,39;218;111;107;26
60;;7;1;40;;164;Woppenroth;8,67;276;143;133;32
60;;7;1;40;;165;Würrich;4,33;160;81;79;37
60;;7;1;40;;166;Wüschheim;3,86;245;130;115;63
60;;7;1;40;;201;Beulich;13,28;531;265;266;40
60;;7;1;40;;202;Dommershausen;24,68; 1 187;593;594;48
60;;7;1;40;;204;Mastershausen;11,84; 1 032;520;512;87
60;;7;1;40;;205;Morshausen;7,56;381;190;191;50
60;;7;1;40;;501;Boppard, Stadt;75,11; 16 058; 7 577; 8 481;214
40;;7;1;41;;;Rhein-Lahn-Kreis;;;;;
60;;7;1;41;;1;Allendorf;3,03;575;279;296;190
60;;7;1;41;;2;Altendiez;9,22; 2 109; 1 032; 1 077;229
60;;7;1;41;;3;Attenhausen;5,85;382;186;196;65
60;;7;1;41;;4;Auel;2,65;230;117;113;87
60;;7;1;41;;5;Aull;2,18;431;212;219;198
60;;7;1;41;;6;Bad Ems, Stadt;15,36; 10 248; 4 695; 5 553;667
60;;7;1;41;;7;Balduinstein;2,22;614;278;336;277
60;;7;1;41;;8;Becheln;4,41;714;362;352;162
60;;7;1;41;;9;Berg;3,3;176;92;84;53
60;;7;1;41;;10;Berghausen;4,37;250;123;127;57
60;;7;1;41;;11;Berndroth;6,22;348;170;178;56
60;;7;1;41;;12;Bettendorf;3,24;318;165;153;98
60;;7;1;41;;13;Biebrich;3,45;348;164;184;101
60;;7;1;41;;14;Birlenbach;4,04; 1 354;652;702;335
60;;7;1;41;;15;Bogel;5,34;708;363;345;133
60;;7;1;41;;16;Bornich;12; 1 075;523;552;90
60;;7;1;41;;18;Bremberg;6,07;294;149;145;48
60;;7;1;41;;19;Buch;4,17;519;258;261;124
60;;7;1;41;;20;Burgschwalbach;9,21; 1 115;539;576;121
60;;7;1;41;;21;Charlottenberg;0,76;152;70;82;200
60;;7;1;41;;22;Cramberg;5,25;490;252;238;93
60;;7;1;41;;23;Dachsenhausen;10,17;973;486;487;96
60;;7;1;41;;24;Dahlheim;6,82;899;466;433;132
60;;7;1;41;;25;Dausenau;9,8; 1 414;683;731;144
60;;7;1;41;;26;Dessighofen;3,57;156;84;72;44
60;;7;1;41;;27;Dienethal;1,39;299;148;151;215
60;;7;1;41;;29;Diez, Stadt;12,42; 9 301; 4 598; 4 703;749
60;;7;1;41;;30;Dörnberg;5,82;486;255;231;84
60;;7;1;41;;31;Dörscheid;8,65;404;189;215;47
60;;7;1;41;;32;Dörsdorf;4,87;343;163;180;70
60;;7;1;41;;33;Dornholzhausen;3,93;226;122;104;58
60;;7;1;41;;34;Ebertshausen;2,57;122;63;59;47
60;;7;1;41;;35;Ehr;1,22;74;42;32;61
60;;7;1;41;;36;Eisighofen;5,42;219;109;110;40
60;;7;1;41;;37;Endlichhofen;2,24;149;83;66;67
60;;7;1;41;;38;Eppenrod;6,98;560;277;283;80
60;;7;1;41;;39;Ergeshausen;2,26;90;51;39;40
60;;7;1;41;;40;Eschbach;2,58;231;117;114;90
60;;7;1;41;;41;Fachbach;2,23; 1 351;669;682;606
60;;7;1;41;;42;Filsen;1,88;518;251;267;276
60;;7;1;41;;43;Flacht;4,45; 1 016;497;519;228
60;;7;1;41;;44;Frücht;5,53;586;275;311;106
60;;7;1;41;;45;Geilnau;2,25;369;180;189;164
60;;7;1;41;;46;Geisig;3,91;339;172;167;87
60;;7;1;41;;47;Gemmerich;6,79;535;263;272;79
60;;7;1;41;;49;Gückingen;2,34;721;349;372;308
60;;7;1;41;;50;Gutenacker;3,83;349;174;175;91
60;;7;1;41;;51;Hahnstätten;10,7; 2 746; 1 334; 1 412;257
60;;7;1;41;;52;Hambach;2,76;409;192;217;148
60;;7;1;41;;53;Heistenbach;5,27;951;451;500;180
60;;7;1;41;;54;Herold;4,09;369;176;193;90
60;;7;1;41;;55;Himmighofen;5,03;337;160;177;67
60;;7;1;41;;57;Hirschberg;2,5;419;210;209;168
60;;7;1;41;;58;Hömberg;4,86;298;150;148;61
60;;7;1;41;;59;Holzappel;2,73; 1 038;496;542;380
60;;7;1;41;;60;Holzhausen an der Haide;8,46; 1 066;523;543;126
60;;7;1;41;;61;Holzheim;4,99;759;368;391;152
60;;7;1;41;;62;Horhausen;5,46;350;170;180;64
60;;7;1;41;;63;Hunzel;4,02;214;108;106;53
60;;7;1;41;;64;Isselbach;7,19;351;180;171;49
60;;7;1;41;;65;Kaltenholzhausen;6,06;510;249;261;84
60;;7;1;41;;66;Kamp-Bornhofen;11,34; 1 841;840; 1 001;162
60;;7;1;41;;67;Kasdorf;4,06;244;118;126;60
60;;7;1;41;;68;Katzenelnbogen, Stadt;9,2; 1 718;783;935;187
60;;7;1;41;;69;Kaub, Stadt;12,97; 1 222;587;635;94
60;;7;1;41;;70;Kehlbach;2,14;156;78;78;73
60;;7;1;41;;71;Kemmenau;3,76;455;221;234;121
60;;7;1;41;;72;Kestert;6,9;818;391;427;119
60;;7;1;41;;73;Klingelbach;5,14;556;284;272;108
60;;7;1;41;;74;Kördorf;7,81;554;277;277;71
60;;7;1;41;;75;Lahnstein, Stadt;36,85; 18 488; 8 867; 9 621;502
60;;7;1;41;;76;Langenscheid;8,93;562;273;289;63
60;;7;1;41;;77;Laurenburg;2,16;365;180;185;169
60;;7;1;41;;78;Lautert;3,56;195;91;104;55
60;;7;1;41;;79;Lierschied;5,93;513;260;253;87
60;;7;1;41;;80;Lipporn;4,8;296;167;129;62
60;;7;1;41;;81;Lohrheim;4,13;542;260;282;131
60;;7;1;41;;82;Lollschied;4,08;180;93;87;44
60;;7;1;41;;83;Lykershausen;3,35;189;97;92;56
60;;7;1;41;;84;Marienfels;3,84;333;164;169;87
60;;7;1;41;;85;Miehlen;15,01; 1 989;976; 1 013;133
60;;7;1;41;;86;Miellen;2,05;440;220;220;215
60;;7;1;41;;87;Misselberg;0,74;76;38;38;103
60;;7;1;41;;88;Mittelfischbach;1,84;113;60;53;61
60;;7;1;41;;89;Mudershausen;4,72;412;218;194;87
60;;7;1;41;;91;Nassau, Stadt;17,49; 5 182; 2 490; 2 692;296
60;;7;1;41;;92;Nastätten, Stadt;13,02; 3 249; 1 559; 1 690;250
60;;7;1;41;;93;Netzbach;3,4;305;150;155;90
60;;7;1;41;;94;Niederbachheim;2,93;228;117;111;78
60;;7;1;41;;95;Niederneisen;7,95; 1 337;643;694;168
60;;7;1;41;;96;Niedertiefenbach;4,08;206;94;112;50
60;;7;1;41;;97;Niederwallmenach;6,88;396;207;189;58
60;;7;1;41;;98;Nievern;4,29; 1 043;505;538;243
60;;7;1;41;;99;Nochern;7,11;504;251;253;71
60;;7;1;41;;100;Oberbachheim;2,85;174;92;82;61
60;;7;1;41;;101;Oberfischbach;5,04;148;83;65;29
60;;7;1;41;;102;Oberneisen;4,54;707;365;342;156
60;;7;1;41;;103;Obernhof;3,86;458;225;233;119
60;;7;1;41;;104;Obertiefenbach;5,77;294;132;162;51
60;;7;1;41;;105;Oberwallmenach;3,18;172;89;83;54
60;;7;1;41;;106;Oberwies;2,02;152;85;67;75
60;;7;1;41;;107;Oelsberg;4,02;447;234;213;111
60;;7;1;41;;108;Osterspai;13,03; 1 329;653;676;102
60;;7;1;41;;109;Patersberg;2,64;446;213;233;169
60;;7;1;41;;110;Hainau;3,31;144;77;67;44
60;;7;1;41;;111;Pohl;4,23;303;157;146;72
60;;7;1;41;;112;Prath;4,33;273;139;134;63
60;;7;1;41;;113;Reckenroth;3,59;189;95;94;53
60;;7;1;41;;114;Reichenberg;3,23;222;106;116;69
60;;7;1;41;;115;Reitzenhain;5,66;348;174;174;61
60;;7;1;41;;116;Rettershain;4,81;334;166;168;69
60;;7;1;41;;117;Rettert;5,8;468;226;242;81
60;;7;1;41;;118;Roth;3,4;159;73;86;47
60;;7;1;41;;120;Ruppertshofen;4,78;323;163;160;68
60;;7;1;41;;121;Sankt Goarshausen, Stadt;7; 1 760;831;929;251
60;;7;1;41;;122;Sauerthal;3,57;201;97;104;56
60;;7;1;41;;123;Schaumburg;2,95;2;1;1;1
60;;7;1;41;;124;Scheidt;2,51;274;127;147;109
60;;7;1;41;;125;Schiesheim;1,43;231;106;125;162
60;;7;1;41;;126;Schönborn;11,71;636;307;329;54
60;;7;1;41;;127;Schweighausen;3,66;196;95;101;54
60;;7;1;41;;128;Seelbach;7,24;391;188;203;54
60;;7;1;41;;129;Singhofen;15,67; 1 585;789;796;101
60;;7;1;41;;130;Steinsberg;2,9;229;122;107;79
60;;7;1;41;;131;Strüth;4,66;334;153;181;72
60;;7;1;41;;132;Sulzbach;2,22;223;114;109;100
60;;7;1;41;;133;Wasenbach;2,4;303;159;144;126
60;;7;1;41;;134;Weidenbach;2,24;95;45;50;42
60;;7;1;41;;135;Weinähr;3,41;437;221;216;128
60;;7;1;41;;136;Weisel;13,05;977;484;493;75
60;;7;1;41;;137;Welterod;9,94;393;193;200;40
60;;7;1;41;;138;Weyer;6;499;247;252;83
60;;7;1;41;;139;Winden;6,99;697;330;367;100
60;;7;1;41;;140;Winterwerb;3,01;135;74;61;45
60;;7;1;41;;141;Zimmerschied;2,21;86;46;40;39
60;;7;1;41;;201;Arzbach;9,93; 1 955;916; 1 039;197
60;;7;1;41;;501;Braubach, Stadt;20,26; 3 676; 1 762; 1 914;181
60;;7;1;41;;502;Diethardt;4,42;260;123;137;59
40;;7;1;43;;;Westerwaldkreis;;;;;
60;;7;1;43;;1;Alsbach;4,77;571;279;292;120
60;;7;1;43;;3;Bannberscheid;2,01;525;258;267;261
60;;7;1;43;;5;Boden;2,16;571;279;292;264
60;;7;1;43;;6;Breitenau;6,06;601;299;302;99
60;;7;1;43;;7;Caan;3,45;473;236;237;137
60;;7;1;43;;8;Daubach;2,51;359;187;172;143
60;;7;1;43;;9;Deesen;3,4;592;291;301;174
60;;7;1;43;;10;Dernbach (Westerwald);8,73; 2 559; 1 149; 1 410;293
60;;7;1;43;;11;Dreikirchen;3,7;855;427;428;231
60;;7;1;43;;12;Ebernhahn;3,33; 1 230;604;626;369
60;;7;1;43;;13;Eitelborn;7,1; 2 481; 1 264; 1 217;349
60;;7;1;43;;15;Ellenhausen;1,9;251;126;125;132
60;;7;1;43;;18;Freilingen;3,67;585;286;299;159
60;;7;1;43;;19;Freirachdorf;4,28;567;277;290;132
60;;7;1;43;;20;Gackenbach;4,75;442;230;212;93
60;;7;1;43;;21;Girod;7,45; 1 042;531;511;140
60;;7;1;43;;22;Goddert;2,39;343;164;179;144
60;;7;1;43;;23;Görgeshausen;3,24;663;325;338;205
60;;7;1;43;;24;Großholbach;3,9;768;374;394;197
60;;7;1;43;;25;Hartenfels;8,15;776;397;379;95
60;;7;1;43;;26;Heilberscheid;6,37;518;277;241;81
60;;7;1;43;;27;Heiligenroth;6; 1 340;662;678;223
60;;7;1;43;;28;Helferskirchen;5;941;458;483;188
60;;7;1;43;;29;Herschbach;15,7; 2 425; 1 192; 1 233;154
60;;7;1;43;;30;Hilgert;4,57; 1 277;609;668;279
60;;7;1;43;;31;Hillscheid;14,08; 2 511; 1 205; 1 306;178
60;;7;1;43;;32;Höhr-Grenzhausen, Stadt;15,88; 8 644; 4 080; 4 564;544
60;;7;1;43;;33;Holler;4,54;969;476;493;213
60;;7;1;43;;34;Horbach;3,94;578;288;290;147
60;;7;1;43;;36;Hübingen;3,56;453;221;232;127
60;;7;1;43;;37;Hundsangen;7,63; 1 840;903;937;241
60;;7;1;43;;38;Hundsdorf;1,4;303;161;142;216
60;;7;1;43;;39;Kadenbach;4,45; 1 252;640;612;281
60;;7;1;43;;40;Kammerforst;1,33;234;112;122;176
60;;7;1;43;;41;Krümmel;2,2;204;102;102;93
60;;7;1;43;;42;Leuterod;3,91;695;345;350;178
60;;7;1;43;;44;Marienrachdorf;5,04;757;388;369;150
60;;7;1;43;;45;Maroth;3,43;219;117;102;64
60;;7;1;43;;46;Maxsain;13,51; 1 000;494;506;74
60;;7;1;43;;47;Mogendorf;4,24; 1 200;600;600;283
60;;7;1;43;;48;Montabaur, Stadt;33,6; 11 433; 5 452; 5 981;340
60;;7;1;43;;49;Moschheim;3,44;607;302;305;176
60;;7;1;43;;50;Nauort;6,42; 2 098; 1 016; 1 082;327
60;;7;1;43;;51;Nentershausen;7,55; 1 841;919;922;244
60;;7;1;43;;52;Neuhäusel;1,67; 1 768;847;921;1 059
60;;7;1;43;;53;Niederelbert;10,26; 1 631;810;821;159
60;;7;1;43;;54;Niedererbach;4,44;840;416;424;189
60;;7;1;43;;55;Nomborn;4;619;319;300;155
60;;7;1;43;;56;Nordhofen;3,86;411;205;206;106
60;;7;1;43;;57;Oberelbert;3,45;897;455;442;260
60;;7;1;43;;58;Obererbach;2,6;473;235;238;182
60;;7;1;43;;59;Oberhaid;1,92;347;178;169;181
60;;7;1;43;;60;Ötzingen;5,98;975;505;470;163
60;;7;1;43;;61;Quirnbach;3,08;411;206;205;133
60;;7;1;43;;62;Ransbach-Baumbach, Stadt;12,13; 6 447; 3 168; 3 279;531
60;;7;1;43;;64;Rückeroth;3,48;381;180;201;109
60;;7;1;43;;65;Ruppach-Goldhausen;4,41; 1 076;524;552;244
60;;7;1;43;;66;Schenkelberg;3,52;640;330;310;182
60;;7;1;43;;67;Selters (Westerwald);8,7; 2 284; 1 114; 1 170;263
60;;7;1;43;;68;Sessenbach;2,79;450;227;223;161
60;;7;1;43;;69;Sessenhausen;5,45;611;309;302;112
60;;7;1;43;;70;Siershahn;4,43; 2 629; 1 282; 1 347;593
60;;7;1;43;;71;Simmern;9,08; 1 255;642;613;138
60;;7;1;43;;72;Stahlhofen;2,98;550;270;280;185
60;;7;1;43;;73;Staudt;2,65;959;477;482;362
60;;7;1;43;;74;Steinefrenz;4,86;614;304;310;126
60;;7;1;43;;75;Steinen;4,21;220;119;101;52
60;;7;1;43;;77;Untershausen;1,92;426;220;206;222
60;;7;1;43;;78;Vielbach;4,55;473;247;226;104
60;;7;1;43;;79;Welschneudorf;7,77;910;462;448;117
60;;7;1;43;;80;Weroth;2,52;511;264;247;203
60;;7;1;43;;81;Wirges, Stadt;10,14; 4 924; 2 431; 2 493;486
60;;7;1;43;;82;Wirscheid;2,68;297;136;161;111
60;;7;1;43;;84;Wittgert;4,74;598;301;297;126
60;;7;1;43;;85;Wölferlingen;8,23;510;264;246;62
60;;7;1;43;;200;Ailertchen;5,58;584;283;301;105
60;;7;1;43;;202;Alpenrod;12,15; 1 338;666;672;110
60;;7;1;43;;203;Arnshöfen;2,94;147;67;80;50
60;;7;1;43;;204;Astert;2,39;241;114;127;101
60;;7;1;43;;205;Atzelgift;2,75;597;300;297;217
60;;7;1;43;;206;Bad Marienberg (Westerwald), Stadt;10; 5 437; 2 607; 2 830;544
60;;7;1;43;;207;Bellingen;4,27;509;245;264;119
60;;7;1;43;;208;Berod bei Wallmerod;3,92;471;231;240;120
60;;7;1;43;;209;Berzhahn;3,26;443;221;222;136
60;;7;1;43;;210;Bilkheim;2,65;382;203;179;144
60;;7;1;43;;211;Bölsberg;1,46;283;140;143;194
60;;7;1;43;;212;Borod;3,15;435;210;225;138
60;;7;1;43;;213;Brandscheid;3,05;432;228;204;142
60;;7;1;43;;214;Bretthausen;3,39;184;95;89;54
60;;7;1;43;;215;Dreifelden;5,11;272;127;145;53
60;;7;1;43;;216;Dreisbach;4,62;539;280;259;117
60;;7;1;43;;217;Elbingen-Mähren;3,89;420;219;201;108
60;;7;1;43;;218;Elsoff (Westerwald);9,44;912;455;457;97
60;;7;1;43;;219;Enspel;1,45;236;116;120;163
60;;7;1;43;;220;Ettinghausen;2,38;244;123;121;103
60;;7;1;43;;221;Ewighausen;2,55;160;79;81;63
60;;7;1;43;;222;Fehl-Ritzhausen;4,02;767;384;383;191
60;;7;1;43;;223;Gehlert;5,19;480;236;244;92
60;;7;1;43;;224;Gemünden;5,19; 1 112;529;583;214
60;;7;1;43;;225;Giesenhausen;4,88;297;146;151;61
60;;7;1;43;;226;Girkenroth;2,77;573;280;293;207
60;;7;1;43;;227;Großseifen;1,52;489;242;247;322
60;;7;1;43;;228;Guckheim;3,76;806;401;405;214
60;;7;1;43;;229;Hachenburg, Stadt;21,45; 4 848; 2 265; 2 583;226
60;;7;1;43;;230;Härtlingen;3,2;266;135;131;83
60;;7;1;43;;231;Hahn bei Marienberg;2,2;385;198;187;175
60;;7;1;43;;232;Hahn am See;3,69;451;225;226;122
60;;7;1;43;;233;Halbs;2,12;285;149;136;134
60;;7;1;43;;234;Hardt;1,88;363;189;174;193
60;;7;1;43;;235;Hattert;11,52; 1 665;802;863;145
60;;7;1;43;;236;Heimborn;3,74;254;114;140;68
60;;7;1;43;;237;Hellenhahn-Schellenberg;7,28; 1 153;550;603;158
60;;7;1;43;;238;Hergenroth;1,89;355;171;184;188
60;;7;1;43;;239;Herschbach (Oberwesterwald);4,63;794;392;402;171
60;;7;1;43;;240;Heuzert;2,13;156;83;73;73
60;;7;1;43;;241;Höchstenbach;5,67;665;333;332;117
60;;7;1;43;;242;Höhn;13,69; 3 080; 1 556; 1 524;225
60;;7;1;43;;243;Hof;8,09; 1 269;579;690;157
60;;7;1;43;;244;Homberg;2,16;148;70;78;69
60;;7;1;43;;245;Hüblingen;4,5;271;141;130;60
60;;7;1;43;;246;Irmtraut;4,52;681;329;352;151
60;;7;1;43;;247;Kaden;2,25;544;266;278;242
60;;7;1;43;;248;Kirburg;4,05;469;221;248;116
60;;7;1;43;;249;Kölbingen;4,07;794;382;412;195
60;;7;1;43;;250;Kroppach;3,97;587;279;308;148
60;;7;1;43;;251;Kuhnhöfen;1,68;101;51;50;60
60;;7;1;43;;252;Kundert;3,14;275;140;135;88
60;;7;1;43;;253;Langenbach bei Kirburg;5,5;760;405;355;138
60;;7;1;43;;254;Langenhahn;5,76; 1 236;618;618;215
60;;7;1;43;;255;Lautzenbrücken;4,28;375;200;175;88
60;;7;1;43;;256;Liebenscheid;10,56;734;370;364;70
60;;7;1;43;;257;Limbach;3,69;386;188;198;105
60;;7;1;43;;258;Linden;2,52;154;78;76;61
60;;7;1;43;;259;Lochum;4,65;316;163;153;68
60;;7;1;43;;260;Luckenbach;3,6;512;247;265;142
60;;7;1;43;;261;Marzhausen;3,03;212;108;104;70
60;;7;1;43;;262;Merkelbach;2,55;415;216;199;163
60;;7;1;43;;263;Meudt;14,71; 1 624;826;798;110
60;;7;1;43;;264;Mörlen;3,07;531;268;263;173
60;;7;1;43;;265;Mörsbach;5,91;473;225;248;80
60;;7;1;43;;266;Molsberg;3,65;429;202;227;118
60;;7;1;43;;267;Mudenbach;4,78;701;340;361;147
60;;7;1;43;;268;Mündersbach;9,27;682;340;342;74
60;;7;1;43;;269;Müschenbach;3,5; 1 001;486;515;286
60;;7;1;43;;270;Neunkhausen;7,89;885;460;425;112
60;;7;1;43;;271;Neunkirchen;6,61;482;244;238;73
60;;7;1;43;;272;Neustadt/ Westerwald;2,8;461;226;235;165
60;;7;1;43;;273;Niederahr;4,03;713;352;361;177
60;;7;1;43;;274;Niederroßbach;4,39;683;352;331;156
60;;7;1;43;;275;Niedersayn;2,82;197;110;87;70
60;;7;1;43;;276;Nister;5,4;928;441;487;172
60;;7;1;43;;277;Nisterau;3,2;801;397;404;250
60;;7;1;43;;278;Nister-Möhrendorf;2,97;284;141;143;96
60;;7;1;43;;279;Nistertal;3,9; 1 212;605;607;311
60;;7;1;43;;280;Norken;5,99;909;449;460;152
60;;7;1;43;;281;Oberahr;4,27;431;227;204;101
60;;7;1;43;;282;Oberrod;6,72;726;342;384;108
60;;7;1;43;;283;Oberroßbach;2,81;331;164;167;118
60;;7;1;43;;284;Pottum;4,36; 1 054;533;521;242
60;;7;1;43;;285;Rehe;7,41;723;366;357;98
60;;7;1;43;;286;Rennerod, Stadt;18,13; 3 666; 1 747; 1 919;202
60;;7;1;43;;287;Roßbach;7,47;796;410;386;107
60;;7;1;43;;288;Rotenhain;4,13;422;212;210;102
60;;7;1;43;;289;Rothenbach;6,72;869;438;431;129
60;;7;1;43;;290;Salz;4,96;799;413;386;161
60;;7;1;43;;291;Salzburg;2,3;216;112;104;94
60;;7;1;43;;292;Seck;8,62; 1 148;571;577;133
60;;7;1;43;;293;Stahlhofen am Wiesensee;2,42;256;127;129;106
60;;7;1;43;;294;Steinebach an der Wied;8,29;707;350;357;85
60;;7;1;43;;295;Stein-Neukirch;7,15;412;212;200;58
60;;7;1;43;;296;Stein-Wingert;3,5;155;73;82;44
60;;7;1;43;;297;Stockhausen-Illfurth;3,24;369;187;182;114
60;;7;1;43;;298;Stockum-Püschen;3,53;685;354;331;194
60;;7;1;43;;299;Streithausen;3,92;524;279;245;134
60;;7;1;43;;300;Unnau;8,13; 1 786;870;916;220
60;;7;1;43;;301;Wahlrod;5,99;737;356;381;123
60;;7;1;43;;302;Waigandshain;4,05;199;91;108;49
60;;7;1;43;;303;Waldmühlen;3,1;247;121;126;80
60;;7;1;43;;304;Wallmerod;2,66; 1 007;492;515;379
60;;7;1;43;;305;Weidenhahn;3,25;555;275;280;171
60;;7;1;43;;306;Welkenbach;2,3;149;77;72;65
60;;7;1;43;;307;Weltersburg;2,66;264;128;136;99
60;;7;1;43;;308;Westerburg, Stadt;18,48; 5 159; 2 484; 2 675;279
60;;7;1;43;;309;Westernohe;7,5;788;372;416;105
60;;7;1;43;;310;Wied;4,68;455;213;242;97
60;;7;1;43;;311;Willingen;3,68;337;169;168;92
60;;7;1;43;;312;Willmenrod;3,63;662;316;346;182
60;;7;1;43;;313;Winkelbach;1,34;154;74;80;115
60;;7;1;43;;314;Winnen;3,26;376;188;188;115
60;;7;1;43;;315;Zehnhausen bei Rennerod;2,96;316;160;156;107
60;;7;1;43;;316;Zehnhausen bei Wallmerod;1,57;131;61;70;83
20;;7;2;;;;Reg.-Bez. Trier;;;;;
40;;7;2;11;;;Trier, Stadt;;;;;
60;;7;2;11;;0;Trier, Stadt;117,18; 97 835; 45 514; 52 321;835
40;;7;2;31;;;Bernkastel-Wittlich;;;;;
60;;7;2;31;;1;Altrich;16,25; 1 380;679;701;85
60;;7;2;31;;3;Arenrath;6,77;370;203;167;55
60;;7;2;31;;4;Bausendorf;11,83; 1 206;619;587;102
60;;7;2;31;;5;Bengel;27,48;988;498;490;36
60;;7;2;31;;6;Berglicht;7,55;535;268;267;71
60;;7;2;31;;7;Bergweiler;13,25;812;414;398;61
60;;7;2;31;;8;Bernkastel-Kues, Stadt;23,67; 6 985; 3 216; 3 769;295
60;;7;2;31;;9;Bettenfeld;17,27;781;386;395;45
60;;7;2;31;;10;Binsfeld;9,99;979;501;478;98
60;;7;2;31;;12;Brauneberg;12,21; 1 191;576;615;98
60;;7;2;31;;13;Bruch;8,63;443;225;218;51
60;;7;2;31;;14;Burg (Mosel);3,37;475;235;240;141
60;;7;2;31;;16;Burgen;7,78;545;269;276;70
60;;7;2;31;;17;Burtscheid;2,99;127;62;65;42
60;;7;2;31;;18;Deuselbach;4,03;284;140;144;70
60;;7;2;31;;19;Dhronecken;1,44;136;70;66;94
60;;7;2;31;;20;Diefenbach;1,41;51;28;23;36
60;;7;2;31;;21;Dierfeld;1,54;7;4;3;5
60;;7;2;31;;22;Dierscheid;2,42;164;80;84;68
60;;7;2;31;;23;Dodenburg;3,84;116;60;56;30
60;;7;2;31;;24;Dreis;11,27; 1 336;658;678;119
60;;7;2;31;;25;Eckfeld;12,74;363;176;187;28
60;;7;2;31;;26;Eisenschmitt;10,83;407;202;205;38
60;;7;2;31;;29;Enkirch;25,43; 1 688;786;902;66
60;;7;2;31;;30;Erden;3,69;422;208;214;114
60;;7;2;31;;31;Esch;2,29;471;246;225;206
60;;7;2;31;;32;Etgert;3,75;77;39;38;21
60;;7;2;31;;33;Flußbach;6,86;343;181;162;50
60;;7;2;31;;35;Gielert;4,09;176;90;86;43
60;;7;2;31;;36;Gipperath;4,87;228;118;110;47
60;;7;2;31;;37;Gladbach;3,6;405;210;195;113
60;;7;2;31;;40;Gornhausen;5,3;228;114;114;43
60;;7;2;31;;41;Graach an der Mosel;8,64;763;379;384;88
60;;7;2;31;;42;Gräfendhron;3,13;116;63;53;37
60;;7;2;31;;44;Greimerath;3,75;207;100;107;55
60;;7;2;31;;46;Großlittgen;13,2;978;506;472;74
60;;7;2;31;;49;Hasborn;6,18;396;209;187;64
60;;7;2;31;;50;Heckenmünster;4,88;111;58;53;23
60;;7;2;31;;51;Heidweiler;10,29;176;87;89;17
60;;7;2;31;;53;Hetzerath;13,87; 1 810;908;902;130
60;;7;2;31;;54;Hilscheid;18,07;282;139;143;16
60;;7;2;31;;56;Hochscheid;15,39;215;109;106;14
60;;7;2;31;;57;Hontheim;24,77;747;381;366;30
60;;7;2;31;;58;Horath;11,92;438;219;219;37
60;;7;2;31;;62;Hupperath;4,11;561;289;272;136
60;;7;2;31;;64;Immert;3,14;162;78;84;52
60;;7;2;31;;65;Karl;10,38;231;111;120;22
60;;7;2;31;;66;Kesten;3,8;425;209;216;112
60;;7;2;31;;67;Kinderbeuern;5,42; 1 005;496;509;185
60;;7;2;31;;68;Kinheim;9,09;896;446;450;99
60;;7;2;31;;69;Klausen;9,22; 1 052;513;539;114
60;;7;2;31;;70;Kleinich;20,31;686;354;332;34
60;;7;2;31;;71;Kommen;2,82;238;113;125;84
60;;7;2;31;;72;Kröv;14,75; 2 401; 1 153; 1 248;163
60;;7;2;31;;74;Laufeld;6,09;478;230;248;78
60;;7;2;31;;75;Lieser;5,42; 1 181;567;614;218
