Gemeinden in Deutschland nach Fläche und Bevölkerung am 31.12.1985;;;;;;;;;;;;
;;;;;;;;;;;;
Satz-art;;Gemeindeschlüssel;;;;;Gemeindename;Fläche km2  ;Bevölkerung;;;
;;Land;RB;Kreis;;Gem;;;insgesamt;männlich;weiblich;je km2
;;Gebietsstand am 31.12.1985;;;;;;am 31.12.1985 (Jahr);;;;
;;;;;;;;;;;;
10;;1;;;;;Schleswig-Holstein;;;;;
40;;1;0;1;;;Flensburg, Stadt;;;;;
60;;1;0;1;;0;Flensburg, Stadt;56,36; 86 779; 41 581; 45 198;1 540
40;;1;0;2;;;Kiel, Landeshauptstadt;;;;;
60;;1;0;2;;0;Kiel, Landeshauptstadt;110,55; 245 682; 116 998; 128 684;2 222
40;;1;0;3;;;Lübeck, Hansestadt;;;;;
60;;1;0;3;;0;Lübeck, Hansestadt;214,23; 210 318; 97 562; 112 756;982
40;;1;0;4;;;Neumünster, Stadt;;;;;
60;;1;0;4;;0;Neumünster, Stadt;71,56; 78 280; 36 956; 41 324;1 094
40;;1;0;51;;;Dithmarschen;;;;;
60;;1;0;51;;1;Albersdorf;17,12; 3 541; 1 968; 1 573;207
60;;1;0;51;;2;Arkebek;6,92;196;98;98;28
60;;1;0;51;;3;Averlak;9,06;650;327;323;72
60;;1;0;51;;4;Bargenstedt;11,91;802;390;412;67
60;;1;0;51;;5;Barkenholm;5,08;175;90;85;34
60;;1;0;51;;6;Barlt;22,88;783;371;412;34
60;;1;0;51;;8;Bergewöhrden;2,64;30;17;13;11
60;;1;0;51;;10;Brickeln;6,06;143;76;67;24
60;;1;0;51;;11;Brunsbüttel, Stadt;65,23; 12 722; 6 188; 6 534;195
60;;1;0;51;;12;Buchholz;14,54;908;464;444;62
60;;1;0;51;;13;Büsum;8,18; 5 952; 2 651; 3 301;728
60;;1;0;51;;14;Büsumer Deichhausen;2,87;374;158;216;130
60;;1;0;51;;15;Bunsoh;11,7;774;380;394;66
60;;1;0;51;;16;Burg (Dithmarschen);11,23; 4 009; 1 822; 2 187;357
60;;1;0;51;;17;Busenwurth;10,07;288;138;150;29
60;;1;0;51;;19;Dellstedt;21,74;786;399;387;36
60;;1;0;51;;20;Delve;15,87;704;347;357;44
60;;1;0;51;;21;Diekhusen-Fahrstedt;7,61;632;284;348;83
60;;1;0;51;;22;Dingen;7,03;610;295;315;87
60;;1;0;51;;23;Dörpling;7,79;534;260;274;69
60;;1;0;51;;24;Eddelak;9,22; 1 355;675;680;147
60;;1;0;51;;26;Eggstedt;12,79;652;321;331;51
60;;1;0;51;;27;Elpersbüttel;23,71;692;349;343;29
60;;1;0;51;;28;Epenwöhrden;13,53;638;333;305;47
60;;1;0;51;;30;Fedderingen;9,69;252;120;132;26
60;;1;0;51;;32;Frestedt;10,32;352;168;184;34
60;;1;0;51;;33;Friedrichsgabekoog;7,39;72;40;32;10
60;;1;0;51;;34;Friedrichskoog;55,04; 3 032; 1 538; 1 494;55
60;;1;0;51;;35;Gaushorn;6,45;184;85;99;29
60;;1;0;51;;36;Glüsing;4,7;120;62;58;26
60;;1;0;51;;37;Grossenrade;10,41;405;200;205;39
60;;1;0;51;;38;Groven;7,98;146;70;76;18
60;;1;0;51;;39;Gudendorf;6,02;353;175;178;59
60;;1;0;51;;40;Hägen;2,85;88;48;40;31
60;;1;0;51;;43;Hedwigenkoog;16,37;296;166;130;18
60;;1;0;51;;44;Heide, Stadt;31,92; 20 888; 9 420; 11 468;654
60;;1;0;51;;45;Hellschen-Heringsand-Unterschaar;7,02;154;80;74;22
60;;1;0;51;;46;Helse;11,45;869;458;411;76
60;;1;0;51;;47;Hemme;16,48;501;243;258;30
60;;1;0;51;;48;Hemmingstedt;16,02; 2 843; 1 365; 1 478;177
60;;1;0;51;;49;Hennstedt;21,93; 1 598;759;839;73
60;;1;0;51;;50;Hillgroven;3,6;96;45;51;27
60;;1;0;51;;51;Hochdonn;5,44; 1 055;495;560;194
60;;1;0;51;;52;Hövede;2,93;50;22;28;17
60;;1;0;51;;53;Hollingstedt;9,69;327;163;164;34
60;;1;0;51;;54;Immenstedt;3,09;98;55;43;32
60;;1;0;51;;57;Kaiser-Wilhelm-Koog;13,06;395;202;193;30
60;;1;0;51;;58;Karolinenkoog;17,5;146;83;63;8
60;;1;0;51;;60;Kleve;12,75;394;206;188;31
60;;1;0;51;;61;Krempel;4,83;611;290;321;127
60;;1;0;51;;62;Kronprinzenkoog;28,85;940;458;482;33
60;;1;0;51;;63;Krumstedt;15,88;472;232;240;30
60;;1;0;51;;64;Kuden;11,36;590;289;301;52
60;;1;0;51;;65;Lehe;18,41; 1 116;541;575;61
60;;1;0;51;;67;Lieth;4,65;269;137;132;58
60;;1;0;51;;68;Linden;11,58;755;378;377;65
60;;1;0;51;;69;Lohe-Rickelshof;5,39; 1 888;918;970;350
60;;1;0;51;;71;Lunden;4,64; 1 752;754;998;378
60;;1;0;51;;72;Marne, Stadt;4,91; 5 650; 2 562; 3 088;1 151
60;;1;0;51;;73;Marnerdeich;1,31;314;147;167;240
60;;1;0;51;;74;Meldorf, Stadt;17,83; 7 162; 3 330; 3 832;402
60;;1;0;51;;75;Neuenkirchen;25,14;917;434;483;36
60;;1;0;51;;76;Neufeld;10,44;694;348;346;66
60;;1;0;51;;77;Neufelderkoog;9,76;147;72;75;15
60;;1;0;51;;78;Nindorf;8,72;973;477;496;112
60;;1;0;51;;79;Norddeich;6,9;412;219;193;60
60;;1;0;51;;80;Norderheistedt;4,33;88;39;49;20
60;;1;0;51;;81;Norderwöhrden;18,44;332;170;162;18
60;;1;0;51;;82;Nordhastedt;26,55; 2 202; 1 079; 1 123;83
60;;1;0;51;;83;Odderade;11,28;270;132;138;24
60;;1;0;51;;84;Oesterdeichstrich;4,64;232;120;112;50
60;;1;0;51;;85;Offenbüttel;14,25;270;126;144;19
60;;1;0;51;;86;Osterrade;17,1;503;259;244;29
60;;1;0;51;;87;Ostrohe;6,71;862;441;421;128
60;;1;0;51;;88;Pahlen;10,82;979;489;490;90
60;;1;0;51;;89;Quickborn;6,96;194;113;81;28
60;;1;0;51;;90;Ramhusen;4,8;192;91;101;40
60;;1;0;51;;92;Rehm-Flehde-Bargen;14,66;622;324;298;42
60;;1;0;51;;93;Reinsbüttel;6,82;383;185;198;56
60;;1;0;51;;96;Sankt Annen;15,08;321;163;158;21
60;;1;0;51;;97;Sankt Michaelisdonn;23,07; 3 510; 1 646; 1 864;152
60;;1;0;51;;98;Sarzbüttel;13,33;567;269;298;43
60;;1;0;51;;99;Schafstedt;18,18; 1 078;526;552;59
60;;1;0;51;;100;Schalkholz;12,5;558;270;288;45
60;;1;0;51;;102;Schlichting;12,5;267;133;134;21
60;;1;0;51;;103;Schmedeswurth;5,92;231;122;109;39
60;;1;0;51;;104;Schrum;5;90;37;53;18
60;;1;0;51;;105;Schülp;9,27;499;236;263;54
60;;1;0;51;;107;Stelle-Wittenwurth;10,7;369;176;193;34
60;;1;0;51;;108;Strübbel;4,4;119;59;60;27
60;;1;0;51;;109;Süderdeich;6,63;411;199;212;62
60;;1;0;51;;110;Süderhastedt;15,75;716;325;391;45
60;;1;0;51;;111;Süderheistedt;5,55;482;264;218;87
60;;1;0;51;;113;Wöhrden;21,6; 1 090;554;536;50
60;;1;0;51;;114;Tellingstedt;21,1; 2 209; 1 050; 1 159;105
60;;1;0;51;;117;Tielenhemme;12,71;142;63;79;11
60;;1;0;51;;118;Trennewurth;7,81;281;140;141;36
60;;1;0;51;;119;Volsemenhusen;16,79;432;215;217;26
60;;1;0;51;;120;Wallen;1,86;24;8;16;13
60;;1;0;51;;121;Warwerort;2,2;176;79;97;80
60;;1;0;51;;122;Weddingstedt;17,91; 1 792;881;911;100
60;;1;0;51;;125;Welmbüttel;7,6;380;190;190;50
60;;1;0;51;;126;Wennbüttel;4,54;69;37;32;15
60;;1;0;51;;127;Wesselburen, Stadt;5,14; 3 005; 1 358; 1 647;585
60;;1;0;51;;128;Wesselburener Deichhausen;5,08;163;87;76;32
60;;1;0;51;;129;Wesselburenerkoog;21,86;310;162;148;14
60;;1;0;51;;130;Wesseln;3,76; 1 118;535;583;297
60;;1;0;51;;131;Westerborstel;4,12;111;53;58;27
60;;1;0;51;;132;Westerdeichstrich;7,48;805;399;406;108
60;;1;0;51;;133;Wiemerstedt;5,08;146;65;81;29
60;;1;0;51;;134;Windbergen;17,29;703;346;357;41
60;;1;0;51;;135;Wolmersdorf;6,1;281;134;147;46
60;;1;0;51;;136;Wrohm;11,45;680;327;353;59
60;;1;0;51;;137;Nordermeldorf;23,39;641;324;317;27
60;;1;0;51;;138;Tensbüttel-Röst;19,39;543;270;273;28
60;;1;0;51;;139;Süderdorf;16,21;348;170;178;21
60;;1;0;51;;140;Oesterwurth;14,18;292;132;160;21
40;;1;0;53;;;Herzogtum Lauenburg;;;;;
60;;1;0;53;;1;Albsfelde;4,18;83;46;37;20
