Gemeinden in Deutschland nach Fläche, Bevölkerung und Postleitzahl am 31.12.2015 (Jahr);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Satz-art;Text-kenn-zeichen;Regionalschlüssel (RS);;;;;Gemeindename;"Fläche km2
am 31.12.2015 (Jahr) 1)";Bevölkerung;;;;Post-leit-zahl 2);Geografische Mittelpunktkoordinaten;;Reisegebiete;;Grad der Verstädterung;;
;;Land;RB;Kreis;VB;Gem;;;insgesamt;männlich;weiblich;je km2;;Längengrad;Breitengrad;Schlüssel;Bezeichnung;Schlüssel;Bezeichnung;
;;Gebietsstand am 31.12.2015 (Jahr), Fläche im Juli 2017 revidiert  ;;;;;;;"am 31.12.2015 (Jahr) 
auf Grundlage des Zensus 2011";;;;;Zuordnungsstand am 31.12.2014 (Jahr);;;;;;
;;;;;;;;;;;;;;;;;;;;
60;64;07;2;32;5008;100;Olsdorf;3,14;  105;  51;  54;  33;54646;6,382379;49,954076;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;101;Orsfeld;5,18;  175;  90;  85;  34;54655;6,622317;50,027288;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;105;Pickließem;5,76;  283;  144;  139;  49;54647;6,648089;49,987799;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;109;Rittersdorf;11,87; 1 464;  741;  723;  123;54636;6,496749;49,997521;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;111;Röhl;10,65;  428;  222;  206;  40;54636;6,582719;49,937287;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;113;Sankt Thomas;9,13;  260;  137;  123;  28;54655;6,599305;50,06757;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;115;Scharfbillig;4,82;  72;  38;  34;  15;54636;6,556557;49,932266;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;118;Schleid;6,24;  346;  185;  161;  55;54636;6,489339;50,060082;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;119;Seffern;4,92;  318;  169;  149;  65;54636;6,502874;50,064387;J12;Eifel;03;gering besiedelt;
60;64;07;2;32;5008;120;Sefferweich;10,70;  228;  119;  109;  21;54636;6,520919;50,058872;J12;Eifel;03;gering besiedelt;
