Gemeinden in Deutschland nach Fläche, Bevölkerung und Postleitzahl am 31.12.2015 (Jahr);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Satz-art;Text-kenn-zeichen;Regionalschlüssel (RS);;;;;Gemeindename;"Fläche km2
am 31.12.2015 (Jahr) 1)";Bevölkerung;;;;Post-leit-zahl 2);Geografische Mittelpunktkoordinaten;;Reisegebiete;;Grad der Verstädterung;;
;;Land;RB;Kreis;VB;Gem;;;insgesamt;männlich;weiblich;je km2;;Längengrad;Breitengrad;Schlüssel;Bezeichnung;Schlüssel;Bezeichnung;
;;Gebietsstand am 31.12.2015 (Jahr), Fläche im Juli 2017 revidiert  ;;;;;;;"am 31.12.2015 (Jahr) 
auf Grundlage des Zensus 2011";;;;;Zuordnungsstand am 31.12.2014 (Jahr);;;;;;
;;;;;;;;;;;;;;;;;;;;
10;;01;;;;;Schleswig-Holstein;;;;;;;;;;;;;
40;41;01;0;01;;;Flensburg, Stadt;;;;;;;;;;;;;
50;50;01;0;01;0000;;Flensburg, Stadt;;;;;;;;;;;;;
60;61;01;0;01;0000;000;Flensburg, Stadt;56,74; 85 942; 42 767; 43 175; 1 515;24937;9,43751;54,78252;F02;Ostsee;01;dicht besiedelt;
40;41;01;0;02;;;Kiel, Landeshauptstadt;;  ;  ;  ;;;;;;;;;
50;50;01;0;02;0000;;Kiel, Landeshauptstadt;;  ;  ;  ;;;;;;;;;
60;61;01;0;02;0000;000;Kiel, Landeshauptstadt;118,65; 246 306; 119 835; 126 471; 2 076;24103;10,13727;54,321775;F02;Ostsee;01;dicht besiedelt;
40;41;01;0;03;;;Lübeck, Hansestadt;;  ;  ;  ;;;;;;;;;
50;50;01;0;03;0000;;Lübeck, Hansestadt;;  ;  ;  ;;;;;;;;;
60;61;01;0;03;0000;000;Lübeck, Hansestadt;214,21; 216 253; 103 683; 112 570; 1 010;23539;10,683932;53,866269;F02;Ostsee;01;dicht besiedelt;
40;41;01;0;04;;;Neumünster, Stadt;;  ;  ;  ;;;;;;;;;
50;50;01;0;04;0000;;Neumünster, Stadt;;  ;  ;  ;;;;;;;;;
60;61;01;0;04;0000;000;Neumünster, Stadt;71,63; 79 197; 39 118; 40 079; 1 106;24534;9,988422;54,069895;F04;übrig. Schleswig-Holstein;01;dicht besiedelt;
40;43;01;0;51;;;Dithmarschen;;  ;  ;  ;;;;;;;;;
50;50;01;0;51;0011;;Brunsbüttel, Stadt;;  ;  ;  ;;;;;;;;;
60;63;01;0;51;0011;011;Brunsbüttel, Stadt;65,23; 12 740; 6 430; 6 310;  195;25541;9,126939;53,896665;F01;Nordsee;02;mittlere Besiedlungsdichte;
50;50;01;0;51;0044;;Heide, Stadt;;  ;  ;  ;;;;;;;;;
60;63;01;0;51;0044;044;Heide, Stadt;31,97; 21 422; 10 125; 11 297;  670;25746;9,095401;54,195834;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
50;51;01;0;51;5163;;Burg-St. Michaelisdonn;;  ;  ;  ;;;;;;;;;
60;64;01;0;51;5163;003;Averlak;9,07;  584;  303;  281;  64;25715;9,182663;53,941154;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;010;Brickeln;6,07;  204;  103;  101;  34;25712;9,221166;54,00849;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;012;Buchholz;14,56;  997;  503;  494;  68;25712;9,223594;53,987198;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;016;Burg (Dithmarschen);11,23; 4 147; 2 030; 2 117;  369;25712;9,258097;53,995937;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;022;Dingen;7,02;  615;  312;  303;  88;25715;9,125804;53,960888;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;024;Eddelak;9,21; 1 360;  663;  697;  148;25715;9,137789;53,945505;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;026;Eggstedt;12,79;  753;  380;  373;  59;25721;9,25927;54,054535;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;032;Frestedt;10,32;  363;  185;  178;  35;25727;9,175759;54,023639;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;037;Großenrade;10,40;  483;  240;  243;  46;25712;9,223436;54,022051;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;051;Hochdonn;5,46; 1 147;  564;  583;  210;25712;9,29316;54,019565;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;064;Kuden;11,37;  631;  328;  303;  55;25712;9,192822;53,967853;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;089;Quickborn;6,95;  184;  90;  94;  26;25712;9,206619;54,009975;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;097;Sankt Michaelisdonn;23,06; 3 432; 1 696; 1 736;  149;25693;9,122148;53,994438;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5163;110;Süderhastedt;15,74;  829;  404;  425;  53;25727;9,20886;54,04991;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
50;51;01;0;51;5166;;Marne-Nordsee;;  ;  ;  ;;;;;;;;;
60;64;01;0;51;5166;021;Diekhusen-Fahrstedt;7,46;  741;  375;  366;  99;25709;9,028338;53,942365;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5166;034;Friedrichskoog;53,35; 2 565; 1 298; 1 267;  48;25718;8,89741;54,013926;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5166;046;Helse;11,44;  868;  440;  428;  76;25709;9,010226;53,977556;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5166;057;Kaiser-Wilhelm-Koog;13,06;  338;  176;  162;  26;25709;8,926364;53,942933;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5166;062;Kronprinzenkoog;28,85;  814;  414;  400;  28;25709;8,964498;53,971709;F01;Nordsee;03;gering besiedelt;
60;63;01;0;51;5166;072;Marne, Stadt;4,83; 5 690; 2 696; 2 994; 1 178;25709;9,008761;53,953695;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
60;64;01;0;51;5166;073;Marnerdeich;1,31;  386;  207;  179;  295;25709;8,983369;53,94846;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
60;64;01;0;51;5166;076;Neufeld;10,41;  602;  307;  295;  58;25724;9,019046;53,907224;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5166;077;Neufelderkoog;9,76;  121;  64;  57;  12;25724;8,968891;53,906887;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5166;090;Ramhusen;4,80;  156;  79;  77;  33;25715;9,090658;53,941207;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5166;103;Schmedeswurth;5,91;  190;  100;  90;  32;25724;9,040335;53,926172;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5166;118;Trennewurth;7,79;  250;  139;  111;  32;25693;9,02715;54,000216;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5166;119;Volsemenhusen;16,78;  348;  187;  161;  21;25693;9,065625;53,967901;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
50;55;01;0;51;5169;;Eider;;  ;  ;  ;;;;;;;;;
60;64;01;0;51;5169;005;Barkenholm;5,11;  168;  90;  78;  33;25791;9,174339;54,237387;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;008;Bergewöhrden;2,64;  35;  15;  20;  13;25779;9,209426;54,318469;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;019;Dellstedt;21,77;  746;  392;  354;  34;25786;9,369143;54,237892;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;020;Delve;15,84;  685;  344;  341;  43;25788;9,252365;54,303978;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;023;Dörpling;7,82;  609;  311;  298;  78;25794;9,301925;54,260654;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;030;Fedderingen;9,69;  275;  135;  140;  28;25779;9,132642;54,281144;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;035;Gaushorn;6,45;  179;  86;  93;  28;25782;9,225318;54,194896;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;036;Glüsing;4,69;  116;  60;  56;  25;25779;9,216421;54,274547;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;038;Groven;7,90;  87;  53;  34;  11;25774;8,989147;54,300165;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;047;Hemme;16,53;  514;  277;  237;  31;25774;9,010966;54,28021;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;049;Hennstedt;21,93; 1 949;  977;  972;  89;25779;9,168248;54,283636;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;052;Hövede;2,94;  60;  29;  31;  20;25782;9,293409;54,243806;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;053;Hollingstedt;9,74;  303;  149;  154;  31;25788;9,226797;54,290548;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;058;Karolinenkoog;17,55;  146;  81;  65;  8;25774;8,965425;54,292379;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;060;Kleve;12,81;  427;  216;  211;  33;25779;9,123185;54,295634;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;061;Krempel;4,83;  597;  301;  296;  124;25774;9,027607;54,320019;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;065;Lehe;18,63; 1 060;  520;  540;  57;25774;9,025334;54,344168;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;068;Linden;11,62;  846;  427;  419;  73;25791;9,182428;54,252623;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;071;Lunden;4,65; 1 667;  859;  808;  358;25774;9,024249;54,330568;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;080;Norderheistedt;4,33;  150;  75;  75;  35;25779;9,146139;54,245331;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;088;Pahlen;10,80; 1 196;  600;  596;  111;25794;9,296387;54,267813;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;092;Rehm-Flehde-Bargen;14,62;  522;  260;  262;  36;25776;9,038383;54,291775;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;096;Sankt Annen;14,89;  322;  169;  153;  22;25776;9,07975;54,345413;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;100;Schalkholz;12,50;  586;  294;  292;  47;25782;9,257028;54,246244;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;102;Schlichting;12,50;  252;  133;  119;  20;25779;9,089378;54,31014;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;114;Tellingstedt;21,10; 2 658; 1 306; 1 352;  126;25782;9,281893;54,219968;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;117;Tielenhemme;12,71;  171;  85;  86;  13;25794;9,378654;54,269463;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;120;Wallen;1,86;  40;  18;  22;  22;25788;9,269538;54,2845;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;125;Welmbüttel;7,60;  429;  212;  217;  56;25782;9,246826;54,196873;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;131;Westerborstel;4,14;  106;  47;  59;  26;25782;9,260601;54,220136;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;133;Wiemerstedt;5,08;  160;  77;  83;  31;25779;9,111231;54,269297;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;136;Wrohm;11,45;  704;  379;  325;  61;25799;9,379505;54,212642;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;139;Süderdorf;16,21;  354;  177;  177;  22;25782;9,343789;54,207468;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5169;141;Süderheistedt;8,44;  566;  281;  285;  67;25779;9,148463;54,23483;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
50;55;01;0;51;5172;;Heider Umland;;  ;  ;  ;;;;;;;;;
60;64;01;0;51;5172;048;Hemmingstedt;16,01; 2 833; 1 409; 1 424;  177;25770;9,073156;54,14876;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5172;067;Lieth;4,66;  380;  176;  204;  82;25770;9,060773;54,15531;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5172;069;Lohe-Rickelshof;5,39; 2 096;  997; 1 099;  389;25746;9,065769;54,187792;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
60;64;01;0;51;5172;075;Neuenkirchen;25,14;  993;  522;  471;  39;25792;8,988145;54,235651;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5172;081;Norderwöhrden;18,47;  291;  157;  134;  16;25746;9,000232;54,192783;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5172;082;Nordhastedt;26,56; 2 775; 1 389; 1 386;  104;25785;9,182991;54,17205;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5172;087;Ostrohe;6,67;  949;  481;  468;  142;25746;9,130804;54,214;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
60;64;01;0;51;5172;107;Stelle-Wittenwurth;10,71;  426;  197;  229;  40;25795;9,061114;54,262554;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5172;113;Wöhrden;21,77; 1 247;  629;  618;  57;25797;8,994508;54,165463;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5172;122;Weddingstedt;17,79; 2 289; 1 157; 1 132;  129;25795;9,088863;54,239275;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5172;130;Wesseln;3,76; 1 405;  698;  707;  374;25746;9,075443;54,208327;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
50;51;01;0;51;5175;;Mitteldithmarschen;;  ;  ;  ;;;;;;;;;
60;64;01;0;51;5175;001;Albersdorf;17,12; 3 482; 1 675; 1 807;  203;25767;9,283995;54,146557;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;002;Arkebek;6,92;  206;  101;  105;  30;25767;9,250325;54,159662;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;004;Bargenstedt;11,90;  917;  439;  478;  77;25704;9,144199;54,095594;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;006;Barlt;22,88;  802;  402;  400;  35;25719;9,058002;54,012444;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5175;015;Bunsoh;11,75;  782;  393;  389;  67;25767;9,320225;54,165522;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;017;Busenwurth;10,09;  305;  160;  145;  30;25719;9,04131;54,041612;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5175;027;Elpersbüttel;30,17;  873;  449;  424;  29;25704;9,047156;54,072963;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5175;028;Epenwöhrden;13,52;  786;  396;  390;  58;25704;9,052894;54,112805;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;039;Gudendorf;6,04;  392;  197;  195;  65;25693;9,1082;54,024745;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;054;Immenstedt;3,09;  106;  47;  59;  34;25767;9,299737;54,180686;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;063;Krumstedt;15,89;  505;  256;  249;  32;25727;9,177954;54,068684;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;63;01;0;51;5175;074;Meldorf, Stadt;21,25; 7 267; 3 494; 3 773;  342;25704;9,068784;54,090945;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
60;64;01;0;51;5175;078;Nindorf;8,73; 1 153;  587;  566;  132;25704;9,114943;54,086722;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
60;64;01;0;51;5175;083;Odderade;11,26;  324;  164;  160;  29;25785;9,190795;54,139384;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;085;Offenbüttel;13,95;  262;  129;  133;  19;25767;9,358039;54,169258;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;086;Osterrade;17,09;  406;  204;  202;  24;25767;9,353264;54,190212;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;098;Sarzbüttel;13,39;  702;  344;  358;  52;25785;9,184289;54,118971;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;099;Schafstedt;18,16; 1 266;  649;  617;  70;25725;9,293675;54,079915;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;104;Schrum;5,00;  68;  37;  31;  14;25782;9,251667;54,187229;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;126;Wennbüttel;4,59;  86;  39;  47;  19;25767;9,32237;54,137969;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;134;Windbergen;17,31;  812;  415;  397;  47;25729;9,117929;54,044949;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;135;Wolmersdorf;6,10;  330;  167;  163;  54;25704;9,103978;54,077114;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5175;137;Nordermeldorf;34,10;  604;  322;  282;  18;25704;9,013655;54,104638;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5175;138;Tensbüttel-Röst;19,36;  645;  316;  329;  33;25767;9,237322;54,116572;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
50;51;01;0;51;5178;;Büsum-Wesselburen;;  ;  ;  ;;;;;;;;;
60;64;01;0;51;5178;013;Büsum;8,48; 4 786; 2 231; 2 555;  564;25761;8,860613;54,129253;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5178;014;Büsumer Deichhausen;2,87;  352;  168;  184;  123;25761;8,890088;54,136175;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5178;033;Friedrichsgabekoog;8,62;  53;  28;  25;  6;25764;8,941082;54,157516;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5178;043;Hedwigenkoog;16,36;  212;  101;  111;  13;25761;8,840953;54,177985;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5178;045;Hellschen-Heringsand-Unterschaar;7,02;  182;  94;  88;  26;25764;8,872882;54,194536;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5178;050;Hillgroven;3,60;  71;  44;  27;  20;25764;8,874901;54,227921;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5178;079;Norddeich;6,90;  401;  211;  190;  58;25764;8,899964;54,218058;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5178;084;Oesterdeichstrich;4,64;  259;  128;  131;  56;25761;8,900566;54,158891;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5178;093;Reinsbüttel;6,83;  428;  212;  216;  63;25764;8,911057;54,179073;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5178;105;Schülp;9,27;  414;  218;  196;  45;25764;8,929943;54,241971;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5178;108;Strübbel;4,40;  89;  45;  44;  20;25792;8,971812;54,260389;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5178;109;Süderdeich;6,64;  488;  236;  252;  73;25764;8,91131;54,201711;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5178;121;Warwerort;4,58;  253;  137;  116;  55;25761;8,921723;54,141177;F01;Nordsee;03;gering besiedelt;
60;63;01;0;51;5178;127;Wesselburen, Stadt;5,14; 3 149; 1 511; 1 638;  613;25764;8,920686;54,212159;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5178;128;Wesselburener Deichhausen;5,07;  107;  51;  56;  21;25764;8,937237;54,174947;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;51;5178;129;Wesselburenerkoog;21,89;  157;  80;  77;  7;25764;8,876161;54,239245;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5178;132;Westerdeichstrich;7,49;  849;  410;  439;  113;25761;8,863517;54,162006;F01;Nordsee;03;gering besiedelt;
60;64;01;0;51;5178;140;Oesterwurth;14,19;  257;  140;  117;  18;25764;8,976801;54,210346;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
40;43;01;0;53;;;Herzogtum Lauenburg;;  ;  ;  ;;;;;;;;;
50;50;01;0;53;0032;;Geesthacht, Stadt;;  ;  ;  ;;;;;;;;;
60;63;01;0;53;0032;032;Geesthacht, Stadt;33,19; 30 030; 14 662; 15 368;  905;21502;10,371623;53,433385;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
50;50;01;0;53;0083;;Lauenburg/ Elbe, Stadt;;  ;  ;  ;;;;;;;;;
60;63;01;0;53;0083;083;Lauenburg/ Elbe, Stadt;9,54; 11 398; 5 714; 5 684; 1 195;21481;10,554267;53,374189;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
50;50;01;0;53;0090;;Mölln, Stadt;;  ;  ;  ;;;;;;;;;
60;63;01;0;53;0090;090;Mölln, Stadt;25,05; 18 856; 8 965; 9 891;  753;23879;10,691022;53,629521;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
50;50;01;0;53;0100;;Ratzeburg, Stadt;;  ;  ;  ;;;;;;;;;
60;63;01;0;53;0100;100;Ratzeburg, Stadt;30,29; 14 230; 6 727; 7 503;  470;23909;10,774492;53,699024;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
50;50;01;0;53;0116;;Schwarzenbek, Stadt;;  ;  ;  ;;;;;;;;;
60;63;01;0;53;0116;116;Schwarzenbek, Stadt;11,56; 15 933; 7 823; 8 110; 1 378;21493;10,477663;53,502645;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
50;50;01;0;53;0129;;Wentorf bei Hamburg;;  ;  ;  ;;;;;;;;;
60;64;01;0;53;0129;129;Wentorf bei Hamburg;6,87; 12 550; 6 073; 6 477; 1 827;21465;10,2519;53,491012;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
50;51;01;0;53;5308;;Berkenthin;;  ;  ;  ;;;;;;;;;
60;64;01;0;53;5308;008;Behlendorf;10,26;  399;  200;  199;  39;23919;10,667846;53,699475;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5308;009;Berkenthin;10,25; 2 075; 1 017; 1 058;  202;23919;10,638297;53,734569;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5308;011;Bliestorf;10,35;  626;  305;  321;  60;23847;10,602527;53,768797;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5308;024;Düchelsdorf;3,01;  169;  89;  80;  56;23847;10,580373;53,737072;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5308;034;Göldenitz;5,15;  234;  116;  118;  45;23919;10,631501;53,722025;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5308;061;Kastorf;6,90; 1 158;  588;  570;  168;23847;10,570134;53,748875;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5308;067;Klempau;10,07;  641;  335;  306;  64;23628;10,660387;53,762851;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5308;075;Krummesse;3,35; 1 772;  826;  946;  529;23628;10,641961;53,780123;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5308;094;Niendorf bei Berkenthin;3,99;  192;  91;  101;  48;23919;10,626158;53,702417;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5308;103;Rondeshagen;9,51;  810;  400;  410;  85;23919;10,629717;53,753642;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5308;120;Sierksrade;4,00;  385;  203;  182;  96;23847;10,600344;53,736555;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
50;51;01;0;53;5313;;Breitenfelde;;  ;  ;  ;;;;;;;;;
60;64;01;0;53;5313;002;Alt Mölln;6,44;  896;  437;  459;  139;23881;10,658165;53,622775;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
60;64;01;0;53;5313;005;Bälau;6,50;  234;  108;  126;  36;23881;10,621739;53,616381;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5313;013;Borstorf;8,65;  279;  136;  143;  32;23881;10,564234;53,613074;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5313;014;Breitenfelde;12,54; 1 934;  966;  968;  154;23881;10,632977;53,605112;F04;übrig. Schleswig-Holstein;02;mittlere Besiedlungsdichte;
60;64;01;0;53;5313;037;Grambek;12,66;  460;  218;  242;  36;23883;10,68068;53,574025;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5313;056;Hornbek;5,89;  188;  92;  96;  32;21514;10,648548;53,5589;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5313;084;Lehmrade;11,40;  502;  253;  249;  44;23883;10,752721;53,5947;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5313;095;Niendorf/ Stecknitz;8,41;  643;  313;  330;  76;23881;10,609244;53,587228;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5313;113;Schretstaken;8,47;  516;  270;  246;  61;21493;10,554081;53,58907;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5313;125;Talkau;4,88;  518;  259;  259;  106;21493;10,569209;53,577157;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5313;134;Woltersdorf;7,90;  294;  149;  145;  37;21516;10,639912;53,5768;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
50;51;01;0;53;5318;;Büchen;;  ;  ;  ;;;;;;;;;
60;64;01;0;53;5318;010;Besenthal;12,65;  88;  49;  39;  7;23899;10,743239;53,530139;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
60;64;01;0;53;5318;015;Bröthen;10,69;  292;  155;  137;  27;21514;10,667504;53,480409;F04;übrig. Schleswig-Holstein;03;gering besiedelt;
