Gemeinden in Deutschland nach Fläche, Bevölkerung und Postleitzahl am 31.12.2017 (Jahr);;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Satz-art;Text-kenn-zeichen;Regionalschlüssel (RS);;;;;Gemeindename;"Fläche km2 1)
am 31.12.2017";Bevölkerung2);;;;Post-leit-zahl3);Geografische Mittelpunktkoordinaten;;Reisegebiete;;Grad der Verstädterung;
;;Land;RB;Kreis;VB;Gem;;;insgesamt;männlich;weiblich;je km2;;Längengrad;Breitengrad;;;;
;;Gebietsstand am 31.12.2017 (Jahr);;;;;;;am 31.12.2017 (Jahr) ;;;;;Zuordnungsstand am 31.12.2017;;Schlüssel;Bezeichnung;Schlüssel;Bezeichnung
;;;;;;;;;;;;;;;;;;;
40;41;5;9;15;;;Hamm, Stadt;;;;;;;;;;;;
50;50;5;9;15;0;;Hamm, Stadt;;;;;;;;;;;;
60;61;5;9;15;0;0;Hamm, Stadt;226,43; 179 185; 88 012; 91 173;791;59065;7,816947;51,678312;H11;Ruhrgebiet;1;dicht besiedelt
40;41;5;9;16;;;Herne, Stadt;;;;;;;;;;;;
50;50;5;9;16;0;;Herne, Stadt;;;;;;;;;;;;
60;61;5;9;16;0;0;Herne, Stadt;51,42; 156 490; 76 665; 79 825; 3 043;44623;7,222793;51,540365;H11;Ruhrgebiet;1;dicht besiedelt
40;43;5;9;54;;;Ennepe-Ruhr-Kreis;;;;;;;;;;;;
50;50;5;9;54;4;;Breckerfeld, Hansestadt;;;;;;;;;;;;
60;63;5;9;54;4;4;Breckerfeld, Hansestadt;59,09; 8 913; 4 396; 4 517;151;58339;7,46522;51,261435;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;54;8;;Ennepetal, Stadt der Kluterthöhle;;;;;;;;;;;;
60;63;5;9;54;8;8;Ennepetal, Stadt der Kluterthöhle;57,77; 29 929; 14 603; 15 326;518;58256;7,367678;51,297193;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;54;12;;Gevelsberg, Stadt;;;;;;;;;;;;
60;63;5;9;54;12;12;Gevelsberg, Stadt;26,34; 30 910; 15 033; 15 877; 1 174;58285;7,337464;51,324271;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;54;16;;Hattingen, Stadt;;;;;;;;;;;;
60;63;5;9;54;16;16;Hattingen, Stadt;71,67; 54 628; 26 498; 28 130;762;45525;7,184107;51,399035;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;54;20;;Herdecke, Stadt;;;;;;;;;;;;
60;63;5;9;54;20;20;Herdecke, Stadt;22,39; 22 836; 10 866; 11 970; 1 020;58313;7,430129;51,3994;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;54;24;;Schwelm, Stadt;;;;;;;;;;;;
60;63;5;9;54;24;24;Schwelm, Stadt;20,49; 28 478; 13 702; 14 776; 1 390;58332;7,29187;51,284;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;54;28;;Sprockhövel, Stadt;;;;;;;;;;;;
60;63;5;9;54;28;28;Sprockhövel, Stadt;47,94; 24 783; 11 957; 12 826;517;45549;7,244016;51,361402;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;54;32;;Wetter (Ruhr), Stadt;;;;;;;;;;;;
60;63;5;9;54;32;32;Wetter (Ruhr), Stadt;31,54; 27 628; 13 586; 14 042;876;58300;7,390737;51,383741;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;54;36;;Witten, Stadt;;;;;;;;;;;;
60;63;5;9;54;36;36;Witten, Stadt;72,4; 96 565; 46 972; 49 593; 1 334;58452;7,337177;51,438718;H11;Ruhrgebiet;1;dicht besiedelt
40;43;5;9;58;;;Hochsauerlandkreis;;;;;;;;;;;;
50;50;5;9;58;4;;Arnsberg, Stadt;;;;;;;;;;;;
60;63;5;9;58;4;4;Arnsberg, Stadt;193,72; 73 814; 36 310; 37 504;381;59759;8,064801;51,395795;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;58;8;;Bestwig;;;;;;;;;;;;
60;64;5;9;58;8;8;Bestwig;69,48; 10 878; 5 476; 5 402;157;59909;8,398158;51,36108;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;58;12;;Brilon, Stadt;;;;;;;;;;;;
60;63;5;9;58;12;12;Brilon, Stadt;229,16; 25 501; 12 506; 12 995;111;59929;8,568121;51,395499;H05;Sauerland;3;gering besiedelt
50;50;5;9;58;16;;Eslohe (Sauerland);;;;;;;;;;;;
60;64;5;9;58;16;16;Eslohe (Sauerland);113,35; 8 885; 4 517; 4 368;78;59889;8,174776;51,257259;H05;Sauerland;3;gering besiedelt
50;50;5;9;58;20;;Hallenberg, Stadt;;;;;;;;;;;;
60;63;5;9;58;20;20;Hallenberg, Stadt;65,35; 4 485; 2 299; 2 186;69;59969;8,621165;51,111987;H05;Sauerland;3;gering besiedelt
50;50;5;9;58;24;;Marsberg, Stadt;;;;;;;;;;;;
60;63;5;9;58;24;24;Marsberg, Stadt;182,22; 19 740; 10 069; 9 671;108;34431;8,854984;51,459563;H05;Sauerland;3;gering besiedelt
50;50;5;9;58;28;;Medebach, Hansestadt;;;;;;;;;;;;
60;63;5;9;58;28;28;Medebach, Hansestadt;126,05; 7 976; 4 002; 3 974;63;59964;8,704871;51,198074;H05;Sauerland;3;gering besiedelt
50;50;5;9;58;32;;Meschede, Kreis- und Hochschulstadt;;;;;;;;;;;;
60;63;5;9;58;32;32;Meschede, Kreis- und  Hochschulstadt;218,5; 30 086; 14 918; 15 168;138;59872;8,285176;51,346881;H05;Sauerland;3;gering besiedelt
50;50;5;9;58;36;;Olsberg, Stadt;;;;;;;;;;;;
60;63;5;9;58;36;36;Olsberg, Stadt;118; 14 634; 7 283; 7 351;124;59939;8,472696;51,355666;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;58;40;;Schmallenberg, Stadt;;;;;;;;;;;;
60;63;5;9;58;40;40;Schmallenberg, Stadt;303,1; 24 965; 12 662; 12 303;82;57392;8,285496;51,153811;H05;Sauerland;3;gering besiedelt
50;50;5;9;58;44;;Sundern (Sauerland), Stadt;;;;;;;;;;;;
60;63;5;9;58;44;44;Sundern (Sauerland), Stadt;193,27; 27 871; 13 992; 13 879;144;59846;8,005553;51,330125;H05;Sauerland;3;gering besiedelt
50;50;5;9;58;48;;Winterberg, Stadt;;;;;;;;;;;;
60;63;5;9;58;48;48;Winterberg, Stadt;147,95; 12 756; 6 385; 6 371;86;59955;8,534051;51,194293;H05;Sauerland;3;gering besiedelt
40;43;5;9;62;;;Märkischer Kreis;;;;;;;;;;;;
50;50;5;9;62;4;;Altena, Stadt;;;;;;;;;;;;
60;63;5;9;62;4;4;Altena, Stadt;44,42; 17 081; 8 462; 8 619;385;58762;7,67459;51,298662;H05;Sauerland;3;gering besiedelt
50;50;5;9;62;8;;Balve, Stadt;;;;;;;;;;;;
60;63;5;9;62;8;8;Balve, Stadt;74,81; 11 449; 5 662; 5 787;153;58802;7,864187;51,330545;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;62;12;;Halver, Stadt;;;;;;;;;;;;
60;63;5;9;62;12;12;Halver, Stadt;77,23; 16 128; 7 908; 8 220;209;58553;7,497997;51,186749;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;62;16;;Hemer, Stadt;;;;;;;;;;;;
60;63;5;9;62;16;16;Hemer, Stadt;67,66; 34 016; 16 744; 17 272;503;58675;7,765233;51,385395;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;62;20;;Herscheid;;;;;;;;;;;;
60;64;5;9;62;20;20;Herscheid;59,4; 7 052; 3 471; 3 581;119;58849;7,745898;51,177282;H05;Sauerland;3;gering besiedelt
50;50;5;9;62;24;;Iserlohn, Stadt;;;;;;;;;;;;
60;63;5;9;62;24;24;Iserlohn, Stadt;125,49; 92 928; 45 469; 47 459;741;58636;7,699212;51,374541;H05;Sauerland;1;dicht besiedelt
50;50;5;9;62;28;;Kierspe, Stadt;;;;;;;;;;;;
60;63;5;9;62;28;28;Kierspe, Stadt;71,91; 16 210; 8 021; 8 189;225;58566;7,586453;51,136194;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;62;32;;Lüdenscheid, Stadt;;;;;;;;;;;;
60;63;5;9;62;32;32;Lüdenscheid, Stadt;87,02; 72 894; 35 798; 37 096;838;58507;7,63358;51,21582;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;62;36;;Meinerzhagen, Stadt;;;;;;;;;;;;
60;63;5;9;62;36;36;Meinerzhagen, Stadt;115,67; 20 406; 10 137; 10 269;176;58540;7,638497;51,107434;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;62;40;;Menden (Sauerland), Stadt;;;;;;;;;;;;
60;63;5;9;62;40;40;Menden (Sauerland), Stadt;86,1; 53 046; 25 979; 27 067;616;58706;7,795344;51,439281;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;62;44;;Nachrodt-Wiblingwerde;;;;;;;;;;;;
60;64;5;9;62;44;44;Nachrodt-Wiblingwerde;29,03; 6 575; 3 263; 3 312;226;58769;7,641751;51,335816;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;62;48;;Neuenrade, Stadt;;;;;;;;;;;;
60;63;5;9;62;48;48;Neuenrade, Stadt;54,1; 11 963; 5 930; 6 033;221;58809;7,77967;51,281925;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;62;52;;Plettenberg, Stadt;;;;;;;;;;;;
60;63;5;9;62;52;52;Plettenberg, Stadt;96,75; 25 414; 12 683; 12 731;263;58840;7,874142;51,212418;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;62;56;;Schalksmühle;;;;;;;;;;;;
60;64;5;9;62;56;56;Schalksmühle;38,09; 10 388; 5 121; 5 267;273;58579;7,529389;51,241352;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;62;60;;Werdohl, Stadt;;;;;;;;;;;;
60;63;5;9;62;60;60;Werdohl, Stadt;33,38; 17 833; 8 855; 8 978;534;58791;7,766853;51,259614;H05;Sauerland;2;mittlere Besiedlungsdichte
40;43;5;9;66;;;Olpe;;;;;;;;;;;;
50;50;5;9;66;4;;Attendorn, Hansestadt;;;;;;;;;;;;
60;63;5;9;66;4;4;Attendorn, Hansestadt;97,95; 24 335; 12 198; 12 137;248;57439;7,905217;51,125217;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;66;8;;Drolshagen, Stadt;;;;;;;;;;;;
60;63;5;9;66;8;8;Drolshagen, Stadt;67,11; 11 824; 5 966; 5 858;176;57489;7,775835;51,024727;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;66;12;;Finnentrop;;;;;;;;;;;;
60;64;5;9;66;12;12;Finnentrop;104,42; 17 141; 8 773; 8 368;164;57413;7,973076;51,171888;H05;Sauerland;3;gering besiedelt
50;50;5;9;66;16;;Kirchhundem;;;;;;;;;;;;
60;64;5;9;66;16;16;Kirchhundem;148,63; 11 617; 5 881; 5 736;78;57399;8,090176;51,086248;H05;Sauerland;3;gering besiedelt
50;50;5;9;66;20;;Lennestadt, Stadt;;;;;;;;;;;;
60;63;5;9;66;20;20;Lennestadt, Stadt;135,59; 25 638; 12 860; 12 778;189;57368;8,073677;51,103245;H05;Sauerland;3;gering besiedelt
50;50;5;9;66;24;;Olpe, Stadt;;;;;;;;;;;;
60;63;5;9;66;24;24;Olpe, Stadt;85,88; 24 459; 11 937; 12 522;285;57462;7,843584;51,02756;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;66;28;;Wenden;;;;;;;;;;;;
60;64;5;9;66;28;28;Wenden;72,56; 19 794; 9 906; 9 888;273;57482;7,873424;50,969338;H05;Sauerland;2;mittlere Besiedlungsdichte
40;43;5;9;70;;;Siegen-Wittgenstein;;;;;;;;;;;;
50;50;5;9;70;4;;Bad Berleburg, Stadt;;;;;;;;;;;;
60;63;5;9;70;4;4;Bad Berleburg, Stadt;275,52; 19 497; 9 860; 9 637;71;57319;8,392854;51,049858;H06;Siegerland-Wittgenstein;3;gering besiedelt
50;50;5;9;70;8;;Burbach;;;;;;;;;;;;
60;64;5;9;70;8;8;Burbach;79,72; 14 793; 7 662; 7 131;186;57299;8,080321;50,745639;H06;Siegerland-Wittgenstein;3;gering besiedelt
50;50;5;9;70;12;;Erndtebrück;;;;;;;;;;;;
60;64;5;9;70;12;12;Erndtebrück;70,98; 7 021; 3 567; 3 454;99;57339;8,256223;50,988732;H06;Siegerland-Wittgenstein;3;gering besiedelt
50;50;5;9;70;16;;Freudenberg, Stadt;;;;;;;;;;;;
60;63;5;9;70;16;16;Freudenberg, Stadt;54,6; 17 759; 8 838; 8 921;325;57258;7,882831;50,901639;H06;Siegerland-Wittgenstein;3;gering besiedelt
50;50;5;9;70;20;;Hilchenbach, Stadt;;;;;;;;;;;;
60;63;5;9;70;20;20;Hilchenbach, Stadt;81,12; 14 949; 7 404; 7 545;184;57271;8,113101;50,995897;H06;Siegerland-Wittgenstein;2;mittlere Besiedlungsdichte
50;50;5;9;70;24;;Kreuztal, Stadt;;;;;;;;;;;;
60;63;5;9;70;24;24;Kreuztal, Stadt;71,07; 31 017; 15 354; 15 663;436;57223;7,988096;50,961831;H06;Siegerland-Wittgenstein;2;mittlere Besiedlungsdichte
50;50;5;9;70;28;;Bad Laasphe, Stadt;;;;;;;;;;;;
60;63;5;9;70;28;28;Bad Laasphe, Stadt;135,95; 13 639; 6 858; 6 781;100;57334;8,41223;50,927285;H06;Siegerland-Wittgenstein;2;mittlere Besiedlungsdichte
50;50;5;9;70;32;;Netphen, Stadt;;;;;;;;;;;;
60;63;5;9;70;32;32;Netphen, Stadt;137,39; 23 297; 11 585; 11 712;170;57250;8,098414;50,915322;H06;Siegerland-Wittgenstein;2;mittlere Besiedlungsdichte
50;50;5;9;70;36;;Neunkirchen;;;;;;;;;;;;
60;64;5;9;70;36;36;Neunkirchen;39,81; 13 424; 6 799; 6 625;337;57290;7,993355;50,787894;H06;Siegerland-Wittgenstein;2;mittlere Besiedlungsdichte
50;50;5;9;70;40;;Siegen, Universitätsstadt;;;;;;;;;;;;
60;63;5;9;70;40;40;Siegen, Universitätsstadt;114,69; 102 337; 50 074; 52 263;892;57072;8,024625;50,874559;H06;Siegerland-Wittgenstein;1;dicht besiedelt
50;50;5;9;70;44;;Wilnsdorf;;;;;;;;;;;;
60;64;5;9;70;44;44;Wilnsdorf;72,04; 20 244; 10 100; 10 144;281;57234;8,103838;50,815392;H06;Siegerland-Wittgenstein;3;gering besiedelt
40;43;5;9;74;;;Soest;;;;;;;;;;;;
50;50;5;9;74;4;;Anröchte;;;;;;;;;;;;
60;64;5;9;74;4;4;Anröchte;73,79; 10 317; 5 226; 5 091;140;59609;8,327462;51,561271;H05;Sauerland;3;gering besiedelt
50;50;5;9;74;8;;Bad Sassendorf;;;;;;;;;;;;
60;64;5;9;74;8;8;Bad Sassendorf;63,46; 12 038; 5 725; 6 313;190;59505;8,164329;51,585642;H05;Sauerland;3;gering besiedelt
50;50;5;9;74;12;;Ense;;;;;;;;;;;;
60;64;5;9;74;12;12;Ense;51,08; 12 239; 6 143; 6 096;240;59469;7,959552;51,503923;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;74;16;;Erwitte, Stadt;;;;;;;;;;;;
60;63;5;9;74;16;16;Erwitte, Stadt;89,41; 16 023; 7 876; 8 147;179;59597;8,336195;51,611473;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;74;20;;Geseke, Stadt;;;;;;;;;;;;
60;63;5;9;74;20;20;Geseke, Stadt;97,89; 21 183; 10 553; 10 630;216;59590;8,508216;51,640122;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;74;24;;Lippetal;;;;;;;;;;;;
60;64;5;9;74;24;24;Lippetal;126,61; 11 914; 5 984; 5 930;94;59510;8,143621;51,656454;H05;Sauerland;3;gering besiedelt
50;50;5;9;74;28;;Lippstadt, Stadt;;;;;;;;;;;;
60;63;5;9;74;28;28;Lippstadt, Stadt;113,68; 67 936; 33 459; 34 477;598;59555;8,346206;51,674054;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;74;32;;Möhnesee;;;;;;;;;;;;
60;64;5;9;74;32;32;Möhnesee;123,51; 11 567; 5 938; 5 629;94;59519;8,131657;51,497716;H05;Sauerland;3;gering besiedelt
50;50;5;9;74;36;;Rüthen, Stadt;;;;;;;;;;;;
60;63;5;9;74;36;36;Rüthen, Stadt;158,15; 10 905; 5 647; 5 258;69;59602;8,431127;51,491486;H05;Sauerland;3;gering besiedelt
50;50;5;9;74;40;;Soest, Stadt;;;;;;;;;;;;
60;63;5;9;74;40;40;Soest, Stadt;85,81; 47 376; 22 798; 24 578;552;59494;8,106308;51,572543;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;74;44;;Warstein, Stadt;;;;;;;;;;;;
60;63;5;9;74;44;44;Warstein, Stadt;158,03; 24 898; 12 436; 12 462;158;59581;8,353834;51,442787;H05;Sauerland;3;gering besiedelt
50;50;5;9;74;48;;Welver;;;;;;;;;;;;
60;64;5;9;74;48;48;Welver;85,62; 12 009; 6 003; 6 006;140;59514;7,957742;51,618557;H05;Sauerland;3;gering besiedelt
50;50;5;9;74;52;;Werl, Stadt;;;;;;;;;;;;
60;63;5;9;74;52;52;Werl, Stadt;76,35; 30 782; 15 720; 15 062;403;59457;7,914536;51,553012;H05;Sauerland;2;mittlere Besiedlungsdichte
50;50;5;9;74;56;;Wickede (Ruhr);;;;;;;;;;;;
60;64;5;9;74;56;56;Wickede (Ruhr);25,24; 12 506; 6 369; 6 137;495;58739;7,870363;51,49641;H05;Sauerland;2;mittlere Besiedlungsdichte
40;43;5;9;78;;;Unna;;;;;;;;;;;;
50;50;5;9;78;4;;Bergkamen, Stadt;;;;;;;;;;;;
60;63;5;9;78;4;4;Bergkamen, Stadt;44,9; 48 829; 24 175; 24 654; 1 088;59192;7,643344;51,615888;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;78;8;;Bönen;;;;;;;;;;;;
60;64;5;9;78;8;8;Bönen;38,04; 18 108; 8 842; 9 266;476;59199;7,763346;51,597952;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;78;12;;Fröndenberg/Ruhr, Stadt;;;;;;;;;;;;
60;63;5;9;78;12;12;Fröndenberg/Ruhr, Stadt;56,23; 20 843; 10 225; 10 618;371;58730;7,767252;51,473212;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;78;16;;Holzwickede;;;;;;;;;;;;
60;64;5;9;78;16;16;Holzwickede;22,36; 17 083; 8 279; 8 804;764;59439;7,617843;51,502798;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;78;20;;Kamen, Stadt;;;;;;;;;;;;
60;63;5;9;78;20;20;Kamen, Stadt;40,95; 43 275; 21 185; 22 090; 1 057;59174;7,662404;51,592335;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;78;24;;Lünen, Stadt;;;;;;;;;;;;
60;63;5;9;78;24;24;Lünen, Stadt;59,39; 86 465; 42 094; 44 371; 1 456;44532;7,523533;51,614327;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;78;28;;Schwerte, Hansestadt an der Ruhr;;;;;;;;;;;;
60;63;5;9;78;28;28;Schwerte, Hansestadt an der Ruhr;56,23; 46 641; 22 773; 23 868;829;58239;7,568982;51,441141;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;78;32;;Selm, Stadt;;;;;;;;;;;;
60;63;5;9;78;32;32;Selm, Stadt;60,41; 25 811; 12 557; 13 254;427;59379;7,468573;51,70035;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;78;36;;Unna, Stadt;;;;;;;;;;;;
60;63;5;9;78;36;36;Unna, Stadt;88,56; 57 158; 27 236; 29 922;645;59423;7,689932;51,534878;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
50;50;5;9;78;40;;Werne, Stadt;;;;;;;;;;;;
60;63;5;9;78;40;40;Werne, Stadt;76,14; 29 721; 14 373; 15 348;390;59368;7,635119;51,663179;H11;Ruhrgebiet;2;mittlere Besiedlungsdichte
10;;6;;;;;Hessen;;;;;;;;;;;;
20;;6;4;;;;Reg.-Bez. Darmstadt;;;;;;;;;;;;
40;41;6;4;11;;;Darmstadt, Wissenschaftsstadt;;;;;;;;;;;;
50;50;6;4;11;0;;Darmstadt, Wissenschaftsstadt;;;;;;;;;;;;
60;61;6;4;11;0;0;Darmstadt, Wissenschaftsstadt;122,07; 158 254; 80 565; 77 689; 1 296;64283;8,6566;49,873211;I15;Odenwald-Bergstrasse-Neckartal;1;dicht besiedelt
40;41;6;4;12;;;Frankfurt am Main, Stadt;;;;;;;;;;;;
50;50;6;4;12;0;;Frankfurt am Main, Stadt;;;;;;;;;;;;
60;61;6;4;12;0;0;Frankfurt am Main, Stadt;248,31; 746 878; 368 721; 378 157; 3 008;60311;8,682433;50,11088;I13;Main und Taunus;1;dicht besiedelt
40;41;6;4;13;;;Offenbach am Main, Stadt;;;;;;;;;;;;
50;50;6;4;13;0;;Offenbach am Main, Stadt;;;;;;;;;;;;
60;61;6;4;13;0;0;Offenbach am Main, Stadt;44,88; 126 658; 62 566; 64 092; 2 822;63065;8,764442;50,105567;I13;Main und Taunus;1;dicht besiedelt
40;41;6;4;14;;;Wiesbaden, Landeshauptstadt;;;;;;;;;;;;
50;50;6;4;14;0;;Wiesbaden, Landeshauptstadt;;;;;;;;;;;;
60;61;6;4;14;0;0;Wiesbaden, Landeshauptstadt;203,87; 278 654; 133 148; 145 506; 1 367;65183;8,239138;50,081698;I14;Rheingau-Taunus;1;dicht besiedelt
40;44;6;4;31;;;Bergstraße;;;;;;;;;;;;
50;50;6;4;31;1;;Abtsteinach;;;;;;;;;;;;
60;64;6;4;31;1;1;Abtsteinach;11,02; 2 424; 1 214; 1 210;220;69518;8,786237;49,544051;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;2;;Bensheim, Stadt;;;;;;;;;;;;
60;63;6;4;31;2;2;Bensheim, Stadt;57,83; 40 326; 19 743; 20 583;697;64625;8,622171;49,680002;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;3;;Biblis;;;;;;;;;;;;
60;64;6;4;31;3;3;Biblis;40,46; 9 025; 4 577; 4 448;223;68647;8,450353;49,683253;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;4;;Birkenau;;;;;;;;;;;;
60;64;6;4;31;4;4;Birkenau;24,54; 9 891; 4 828; 5 063;403;69488;8,705575;49,562425;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;5;;Bürstadt, Stadt;;;;;;;;;;;;
60;63;6;4;31;5;5;Bürstadt, Stadt;34,46; 16 315; 8 058; 8 257;473;68642;8,452693;49,640366;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;6;;Einhausen;;;;;;;;;;;;
60;64;6;4;31;6;6;Einhausen;26,67; 6 396; 3 208; 3 188;240;64683;8,545053;49,672282;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;7;;Fürth;;;;;;;;;;;;
60;64;6;4;31;7;7;Fürth;38,41; 10 446; 5 214; 5 232;272;64658;8,783565;49,650896;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;8;;Gorxheimertal;;;;;;;;;;;;
60;64;6;4;31;8;8;Gorxheimertal;10,45; 4 080; 2 028; 2 052;390;69517;8,732527;49,530895;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;9;;Grasellenbach;;;;;;;;;;;;
60;64;6;4;31;9;9;Grasellenbach;22,88; 4 125; 2 128; 1 997;180;64689;8,860779;49,630273;I15;Odenwald-Bergstrasse-Neckartal;3;gering besiedelt
50;50;6;4;31;10;;Groß-Rohrheim;;;;;;;;;;;;
60;64;6;4;31;10;10;Groß-Rohrheim;19,56; 3 747; 1 897; 1 850;192;68649;8,477487;49,719155;I15;Odenwald-Bergstrasse-Neckartal;3;gering besiedelt
50;50;6;4;31;11;;Heppenheim (Bergstraße), Kreisstadt;;;;;;;;;;;;
60;63;6;4;31;11;11;Heppenheim (Bergstraße), Kreisstadt;52,12; 25 755; 12 787; 12 968;494;64646;8,644017;49,641185;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;12;;Hirschhorn (Neckar), Stadt;;;;;;;;;;;;
60;63;6;4;31;12;12;Hirschhorn (Neckar), Stadt;30,85; 3 465; 1 716; 1 749;112;69434;8,89669;49,447386;I15;Odenwald-Bergstrasse-Neckartal;3;gering besiedelt
50;50;6;4;31;13;;Lampertheim, Stadt;;;;;;;;;;;;
60;63;6;4;31;13;13;Lampertheim, Stadt;72,27; 32 609; 16 119; 16 490;451;68623;8,46255;49,595788;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;14;;Lautertal (Odenwald);;;;;;;;;;;;
60;64;6;4;31;14;14;Lautertal (Odenwald);30,75; 7 191; 3 535; 3 656;234;64686;8,692303;49,712209;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;15;;Lindenfels, Stadt;;;;;;;;;;;;
60;63;6;4;31;15;15;Lindenfels, Stadt;21,09; 5 126; 2 563; 2 563;243;64678;8,77983;49,68301;I15;Odenwald-Bergstrasse-Neckartal;3;gering besiedelt
50;50;6;4;31;16;;Lorsch, Karolingerstadt;;;;;;;;;;;;
60;63;6;4;31;16;16;Lorsch, Karolingerstadt;25,24; 13 472; 6 527; 6 945;534;64653;8,567793;49,653854;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;17;;Mörlenbach;;;;;;;;;;;;
60;64;6;4;31;17;17;Mörlenbach;27,22; 10 072; 4 987; 5 085;370;69509;8,737691;49,597539;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;18;;Neckarsteinach, Stadt;;;;;;;;;;;;
60;63;6;4;31;18;18;Neckarsteinach, Stadt;17,24; 3 913; 1 969; 1 944;227;69239;8,839114;49,40797;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;19;;Rimbach;;;;;;;;;;;;
60;64;6;4;31;19;19;Rimbach;23,16; 8 635; 4 243; 4 392;373;64668;8,756412;49,623998;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;20;;Viernheim, Stadt;;;;;;;;;;;;
60;63;6;4;31;20;20;Viernheim, Stadt;48,41; 33 989; 16 624; 17 365;702;68519;8,581954;49,537068;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;21;;Wald-Michelbach;;;;;;;;;;;;
60;64;6;4;31;21;21;Wald-Michelbach;74,31; 10 628; 5 309; 5 319;143;69483;8,83014;49,570696;I15;Odenwald-Bergstrasse-Neckartal;2;mittlere Besiedlungsdichte
50;50;6;4;31;22;;Zwingenberg, Stadt;;;;;;;;;;;;
