Gemeinden in Deutschland nach Fläche, Einwohner und Postleitzahl am 31.12.2005 (Jahr);;;;;;;;;;;;;
;;;;;;;;;;;;;
Satz-art;Text-kenn-zeichen;Regionalschlüssel;;;;;Gemeindename;Fläche in km2;Einwohner;;;;Post-leitzahl
;;Land;RB;Kreis;VB;Gem;;;insgesamt;männlich;weiblich;;
;;Gebietsstand am 31.12.2005 (Jahr);;;;;;am 31.12.2005 (Jahr);;;;;
;;;;;;;;;;;;;
60;64;1;0;51;5133;92;Rehm-Flehde-Bargen;14,63;603;320;283;;25776
60;64;1;0;51;5133;96;Sankt Annen;14,87;349;180;169;;25776
50;55;1;0;51;5136;;Marne-Land;;;;;;
60;64;1;0;51;5136;21;Diekhusen-Fahrstedt;7,46;729;373;356;;25709
60;64;1;0;51;5136;46;Helse;11,44;950;479;471;;25709
60;64;1;0;51;5136;57;Kaiser-Wilhelm-Koog;13,06;370;183;187;;25709
60;64;1;0;51;5136;62;Kronprinzenkoog;28,85;950;490;460;;25709
60;64;1;0;51;5136;73;Marnerdeich;1,31;351;173;178;;25709
60;64;1;0;51;5136;76;Neufeld;10,4;656;347;309;;25724
60;64;1;0;51;5136;77;Neufelderkoog;9,76;144;68;76;;25724
60;64;1;0;51;5136;90;Ramhusen;4,8;163;78;85;;25715
60;64;1;0;51;5136;103;Schmedeswurth;5,91;214;119;95;;25724
60;64;1;0;51;5136;118;Trennewurth;7,78;267;142;125;;25693
60;64;1;0;51;5136;119;Volsemenhusen;16,79;368;191;177;;25693
50;55;1;0;51;5142;;Meldorf-Land;;;;;;
60;64;1;0;51;5142;4;Bargenstedt;11,91;936;472;464;;25704
60;64;1;0;51;5142;6;Barlt;22,88;850;431;419;;25719
60;64;1;0;51;5142;17;Busenwurth;10,09;325;179;146;;25719
60;64;1;0;51;5142;27;Elpersbüttel;30,17;913;469;444;;25704
60;64;1;0;51;5142;28;Epenwöhrden;13,52;814;419;395;;25704
60;64;1;0;51;5142;39;Gudendorf;6,04;427;203;224;;25693
60;64;1;0;51;5142;63;Krumstedt;15,89;562;284;278;;25727
60;64;1;0;51;5142;78;Nindorf;8,72; 1 162;588;574;;25704
60;64;1;0;51;5142;83;Odderade;11,29;324;157;167;;25785
60;64;1;0;51;5142;98;Sarzbüttel;13,39;731;371;360;;25785
60;64;1;0;51;5142;134;Windbergen;17,27;840;439;401;;25729
60;64;1;0;51;5142;135;Wolmersdorf;6,1;346;180;166;;25704
60;64;1;0;51;5142;137;Nordermeldorf;34,1;663;353;310;;25704
50;55;1;0;51;5151;;Tellingstedt;;;;;;
60;64;1;0;51;5151;19;Dellstedt;21,77;800;408;392;;25786
60;64;1;0;51;5151;23;Dörpling;7,82;619;318;301;;25794
60;64;1;0;51;5151;35;Gaushorn;6,45;203;107;96;;25782
60;64;1;0;51;5151;52;Hövede;2,94;59;35;24;;25782
60;64;1;0;51;5151;88;Pahlen;10,81; 1 166;578;588;;25794
60;64;1;0;51;5151;100;Schalkholz;12,5;593;301;292;;25782
60;64;1;0;51;5151;114;Tellingstedt;21,1; 2 500; 1 234; 1 266;;25782
60;64;1;0;51;5151;117;Tielenhemme;12,71;175;88;87;;25794
60;64;1;0;51;5151;120;Wallen;1,86;35;18;17;;25788
60;64;1;0;51;5151;125;Welmbüttel;7,6;472;245;227;;25782
60;64;1;0;51;5151;131;Westerborstel;4,14;101;50;51;;25782
60;64;1;0;51;5151;136;Wrohm;11,45;720;372;348;;25799
60;64;1;0;51;5151;139;Süderdorf;16,21;396;195;201;;25782
50;55;1;0;51;5154;;Weddingstedt;;;;;;
60;64;1;0;51;5154;75;Neuenkirchen;25,14; 1 053;525;528;;25792
60;64;1;0;51;5154;87;Ostrohe;6,7;963;479;484;;25746
60;64;1;0;51;5154;107;Stelle-Wittenwurth;10,71;484;245;239;;25795
60;64;1;0;51;5154;122;Weddingstedt;17,89; 2 325; 1 116; 1 209;;25795
60;64;1;0;51;5154;130;Wesseln;3,76; 1 340;655;685;;25746
50;55;1;0;51;5157;;Wesselburen;;;;;;
60;64;1;0;51;5157;33;Friedrichsgabekoog;8,62;70;33;37;;25764
60;64;1;0;51;5157;45;Hellschen-Heringsand-Unterschaar;7,02;167;81;86;;25764
60;64;1;0;51;5157;50;Hillgroven;3,6;85;49;36;;25764
60;64;1;0;51;5157;79;Norddeich;6,9;429;217;212;;25764
60;64;1;0;51;5157;81;Norderwöhrden;18,47;289;152;137;;25746
60;64;1;0;51;5157;93;Reinsbüttel;6,83;432;220;212;;25764
60;64;1;0;51;5157;105;Schülp;9,27;491;256;235;;25764
60;64;1;0;51;5157;108;Strübbel;4,4;95;47;48;;25792
60;64;1;0;51;5157;109;Süderdeich;6,64;532;261;271;;25764
60;64;1;0;51;5157;128;Wesselburener Deichhausen;5,07;144;77;67;;25764
60;64;1;0;51;5157;129;Wesselburenerkoog;21,89;156;77;79;;25764
60;64;1;0;51;5157;140;Oesterwurth;14,19;274;147;127;;25764
40;43;1;0;53;;;Herzogtum Lauenburg;;;;;;
60;63;1;0;53;0;32;Geesthacht, Stadt;33,19; 29 399; 14 296; 15 103;;21502
60;63;1;0;53;0;83;Lauenburg/ Elbe, Stadt;9,54; 11 678; 5 733; 5 945;;21481
60;63;1;0;53;0;90;Mölln, Stadt;25,05; 18 478; 8 714; 9 764;;23879
60;63;1;0;53;0;100;Ratzeburg, Stadt;30,29; 13 785; 6 353; 7 432;;23909
60;63;1;0;53;0;116;Schwarzenbek, Stadt;11,56; 14 906; 7 236; 7 670;;21493
60;64;1;0;53;0;129;Wentorf bei Hamburg;6,87; 11 470; 5 484; 5 986;;21465
50;51;1;0;53;5303;;Aumühle-Wohltorf;;;;;;
60;64;1;0;53;5303;3;Aumühle;3,47; 3 105; 1 386; 1 719;;21521
60;66;1;0;53;5303;105;Sachsenwald (Forstgutsbez.),gemfr.Geb.;58,49;0;0;0;;21521
60;64;1;0;53;5303;133;Wohltorf;5,97; 2 282; 1 074; 1 208;;21521
50;51;1;0;53;5308;;Berkenthin;;;;;;
60;64;1;0;53;5308;8;Behlendorf;10,25;397;196;201;;23919
60;64;1;0;53;5308;9;Berkenthin;10,22; 2 092; 1 024; 1 068;;23919
60;64;1;0;53;5308;11;Bliestorf;10,35;699;333;366;;23847
60;64;1;0;53;5308;24;Düchelsdorf;3,01;161;87;74;;23847
60;64;1;0;53;5308;34;Göldenitz;5,18;224;115;109;;23919
60;64;1;0;53;5308;61;Kastorf;6,9; 1 146;578;568;;23847
60;64;1;0;53;5308;67;Klempau;10,07;620;308;312;;23628
60;64;1;0;53;5308;75;Krummesse;3,42; 1 551;747;804;;23628
60;64;1;0;53;5308;94;Niendorf bei Berkenthin;3,99;189;95;94;;23919
60;64;1;0;53;5308;103;Rondeshagen;9,51;868;451;417;;23919
60;64;1;0;53;5308;120;Sierksrade;4;308;159;149;;23847
50;51;1;0;53;5313;;Breitenfelde;;;;;;
60;64;1;0;53;5313;2;Alt Mölln;6,44;871;438;433;;23881
60;64;1;0;53;5313;5;Bälau;6,5;246;111;135;;23881
60;64;1;0;53;5313;13;Borstorf;8,65;308;153;155;;23881
60;64;1;0;53;5313;14;Breitenfelde;12,54; 1 785;913;872;;23881
60;64;1;0;53;5313;56;Hornbek;5,89;186;88;98;;21514
60;64;1;0;53;5313;95;Niendorf/ Stecknitz;8,41;630;311;319;;23881
60;64;1;0;53;5313;113;Schretstaken;8,47;511;260;251;;21493
60;64;1;0;53;5313;125;Talkau;4,88;528;263;265;;21493
60;64;1;0;53;5313;126;Tramm;6,75;337;168;169;;21516
60;64;1;0;53;5313;134;Woltersdorf;7,9;278;136;142;;21516
50;51;1;0;53;5318;;Büchen;;;;;;
60;64;1;0;53;5318;15;Bröthen;10,69;279;147;132;;21514
60;64;1;0;53;5318;20;Büchen;16,85; 5 516; 2 709; 2 807;;21514
60;64;1;0;53;5318;29;Fitzen;9,11;363;175;188;;21514
60;64;1;0;53;5318;48;Güster;7,78; 1 203;610;593;;21514
60;64;1;0;53;5318;64;Klein Pampau;4,17;647;315;332;;21514
60;64;1;0;53;5318;92;Müssen;11,46;954;477;477;;21516
60;64;1;0;53;5318;104;Roseburg;16,23;512;246;266;;21514
60;64;1;0;53;5318;115;Schulendorf;11,39;474;241;233;;21516
60;64;1;0;53;5318;119;Siebeneichen;4,68;252;122;130;;21514
60;64;1;0;53;5318;132;Witzeeze;10,46;914;421;493;;21514
50;51;1;0;53;5323;;Hohe Elbgeest;;;;;;
60;64;1;0;53;5323;12;Börnsen;8,42; 3 850; 1 885; 1 965;;21039
60;64;1;0;53;5323;23;Dassendorf;7,95; 3 097; 1 503; 1 594;;21521
60;64;1;0;53;5323;28;Escheburg;8,91; 3 157; 1 577; 1 580;;21039
60;64;1;0;53;5323;50;Hamwarde;6,68;758;387;371;;21502
60;64;1;0;53;5323;53;Hohenhorn;6,93;444;226;218;;21526
60;64;1;0;53;5323;72;Kröppelshagen-Fahrendorf;8,37; 1 070;537;533;;21529
60;64;1;0;53;5323;131;Wiershop;5,15;173;88;85;;21502
60;64;1;0;53;5323;135;Worth;6,07;169;79;90;;21502
50;51;1;0;53;5333;;Gudow-Sterley;;;;;;
60;64;1;0;53;5333;10;Besenthal;12,65;76;41;35;;23899
60;64;1;0;53;5333;16;Brunsmark;4,29;152;78;74;;23883
60;64;1;0;53;5333;35;Göttin;5,21;55;27;28;;21514
60;64;1;0;53;5333;37;Grambek;12,66;402;198;204;;23883
60;64;1;0;53;5333;46;Gudow;42,26; 1 624;805;819;;23899
60;64;1;0;53;5333;54;Hollenbek;7,21;441;210;231;;23883
60;64;1;0;53;5333;57;Horst;11,93;247;138;109;;23883
60;64;1;0;53;5333;66;Klein Zecher;9,11;249;124;125;;23883
60;64;1;0;53;5333;80;Langenlehsten;23,37;160;82;78;;21514
60;64;1;0;53;5333;84;Lehmrade;11,4;470;228;242;;23883
60;64;1;0;53;5333;107;Salem;25,1;572;273;299;;23911
60;64;1;0;53;5333;117;Seedorf;27,89;531;268;263;;23883
60;64;1;0;53;5333;123;Sterley;21,39;980;464;516;;23883
50;51;1;0;53;5343;;Lütau;;;;;;
60;64;1;0;53;5343;6;Basedow;7,47;683;353;330;;21483
60;64;1;0;53;5343;19;Buchhorst;5,19;154;73;81;;21481
60;64;1;0;53;5343;22;Dalldorf;6,05;355;180;175;;21483
60;64;1;0;53;5343;58;Juliusburg;6,04;188;81;107;;21483
60;64;1;0;53;5343;73;Krüzen;8,25;348;166;182;;21483
60;64;1;0;53;5343;74;Krukow;7,94;194;103;91;;21483
60;64;1;0;53;5343;82;Lanze;9,05;392;207;185;;21483
60;64;1;0;53;5343;87;Lütau;11,24;701;354;347;;21483
60;64;1;0;53;5343;111;Schnakenbek;13,02;841;412;429;;21481
60;64;1;0;53;5343;128;Wangelau;6,52;207;99;108;;21483
50;51;1;0;53;5353;;Nusse;;;;;;
60;64;1;0;53;5353;25;Duvensee;12,4;537;251;286;;23898
60;64;1;0;53;5353;69;Koberg;11,98;740;367;373;;23881
60;64;1;0;53;5353;77;Kühsen;7,28;387;189;198;;23898
60;64;1;0;53;5353;81;Lankau;19,12;501;273;228;;23881
60;64;1;0;53;5353;96;Nusse;6,22; 1 019;514;505;;23896
60;64;1;0;53;5353;97;Panten;13,83;718;381;337;;23896
60;64;1;0;53;5353;99;Poggensee;5,44;344;164;180;;23896
60;64;1;0;53;5353;101;Ritzerau;11,11;286;140;146;;23896
60;64;1;0;53;5353;127;Walksfelde;3,51;191;94;97;;23896
50;51;1;0;53;5358;;Ratzeburg-Land;;;;;;
60;64;1;0;53;5358;1;Albsfelde;4,18;59;31;28;;23909
60;64;1;0;53;5358;4;Bäk;4,3;817;402;415;;23909
60;64;1;0;53;5358;18;Buchholz;2,93;245;118;127;;23911
60;64;1;0;53;5358;26;Einhaus;2,53;394;204;190;;23911
60;64;1;0;53;5358;30;Fredeburg;10,09;39;17;22;;23909
60;64;1;0;53;5358;33;Giesensdorf;2,73;97;45;52;;23909
60;64;1;0;53;5358;40;Groß Disnack;5,99;90;51;39;;23911
60;64;1;0;53;5358;41;Groß Grönau;4,9; 3 517; 1 736; 1 781;;23627
60;64;1;0;53;5358;43;Groß Sarau;17,08;875;419;456;;23627
60;64;1;0;53;5358;51;Harmsdorf;3,57;244;112;132;;23911
60;64;1;0;53;5358;62;Kittlitz;17,73;252;133;119;;23911
60;64;1;0;53;5358;78;Kulpin;6,07;239;117;122;;23911
60;64;1;0;53;5358;88;Mechow;4,31;91;49;42;;23909
60;64;1;0;53;5358;93;Mustin;11,88;702;358;344;;23911
60;64;1;0;53;5358;98;Pogeez;4,51;381;200;181;;23911
60;64;1;0;53;5358;102;Römnitz;5,21;62;32;30;;23909
60;64;1;0;53;5358;110;Schmilau;11,55;594;301;293;;23911
60;64;1;0;53;5358;136;Ziethen;11,14;985;493;492;;23911
50;51;1;0;53;5368;;Sandesneben;;;;;;
60;64;1;0;53;5368;38;Grinau;2,74;321;162;159;;23847
60;64;1;0;53;5368;39;Groß Boden;2,7;212;109;103;;23847
60;64;1;0;53;5368;44;Groß Schenkenberg;6,52;532;267;265;;23860
60;64;1;0;53;5368;68;Klinkrade;7,4;549;270;279;;23898
60;64;1;0;53;5368;79;Labenz;5,75;836;432;404;;23898
60;64;1;0;53;5368;85;Linau;9,66; 1 145;568;577;;22959
60;64;1;0;53;5368;86;Lüchow;4,62;197;90;107;;23898
60;64;1;0;53;5368;108;Sandesneben;6,13; 1 619;820;799;;23898
60;64;1;0;53;5368;109;Schiphorst;8,15;568;275;293;;23847
60;64;1;0;53;5368;112;Schönberg;14,78; 1 296;650;646;;22929
60;64;1;0;53;5368;114;Schürensöhlen;2,75;162;84;78;;23847
60;64;1;0;53;5368;118;Siebenbäumen;8,82;679;350;329;;23847
60;64;1;0;53;5368;121;Sirksfelde;8,63;322;165;157;;23898
60;64;1;0;53;5368;122;Steinhorst;16,37;565;290;275;;23847
60;64;1;0;53;5368;124;Stubben;5,24;418;201;217;;23847
60;64;1;0;53;5368;130;Wentorf (Amt Sandesneben);4,99;703;337;366;;23898
50;51;1;0;53;5373;;Schwarzenbek-Land;;;;;;
60;64;1;0;53;5373;7;Basthorst;10,82;384;187;197;;21493
60;64;1;0;53;5373;17;Brunstorf;13,76;624;318;306;;21524
60;64;1;0;53;5373;21;Dahmker;2,04;152;85;67;;22946
60;64;1;0;53;5373;27;Elmenhorst;13;919;482;437;;21493
60;64;1;0;53;5373;31;Fuhlenhagen;5,74;296;133;163;;21493
60;64;1;0;53;5373;36;Grabau;4,1;283;130;153;;21493
60;64;1;0;53;5373;42;Groß Pampau;4,32;127;59;68;;21493
60;64;1;0;53;5373;45;Grove;5,28;230;125;105;;21493
60;64;1;0;53;5373;47;Gülzow;17,07; 1 301;670;631;;21483
60;64;1;0;53;5373;49;Hamfelde;3,47;457;212;245;;22929
60;64;1;0;53;5373;52;Havekost;5,91;138;65;73;;21493
60;64;1;0;53;5373;59;Kankelau;4,21;221;120;101;;21514
60;64;1;0;53;5373;60;Kasseburg;7,89;536;258;278;;22929
60;64;1;0;53;5373;70;Köthel;1,52;285;159;126;;22929
60;64;1;0;53;5373;71;Kollow;8,21;658;323;335;;21527
60;64;1;0;53;5373;76;Kuddewörde;7,34; 1 341;651;690;;22958
60;64;1;0;53;5373;89;Möhnsen;7,48;533;264;269;;21493
60;64;1;0;53;5373;91;Mühlenrade;3,74;187;95;92;;21493
60;64;1;0;53;5373;106;Sahms;5,94;377;189;188;;21493
40;43;1;0;54;;;Nordfriesland;;;;;;
60;63;1;0;54;0;19;Bredstedt, Stadt;9,92; 5 020; 2 342; 2 678;;25821
60;63;1;0;54;0;36;Garding, Stadt;3,06; 2 685; 1 252; 1 433;;25836
60;63;1;0;54;0;56;Husum, Stadt;18,01; 20 954; 9 986; 10 968;;25813
60;64;1;0;54;0;76;Leck;29,79; 7 680; 3 689; 3 991;;25917
60;63;1;0;54;0;88;Niebüll, Stadt;30,63; 8 942; 4 239; 4 703;;25899
60;64;1;0;54;0;108;Reußenköge;45,91;354;184;170;;25821
60;64;1;0;54;0;113;Sankt Peter-Ording;28,28; 4 053; 1 904; 2 149;;25826
60;63;1;0;54;0;138;Tönning, Stadt;44,41; 5 032; 2 422; 2 610;;25832
60;63;1;0;54;0;151;Westerland, Stadt;10,45; 8 998; 4 116; 4 882;;25980
60;63;1;0;54;0;164;Wyk auf Föhr, Stadt;8; 4 437; 2 024; 2 413;;25938
50;51;1;0;54;5403;;Amrum;;;;;;
60;64;1;0;54;5403;85;Nebel;11,96;953;447;506;;25946
60;64;1;0;54;5403;89;Norddorf;5,9;638;282;356;;25946
60;64;1;0;54;5403;160;Wittdün;2,6;665;299;366;;25946
50;51;1;0;54;5405;;Bökingharde;;;;;;
60;64;1;0;54;5405;22;Dagebüll;36,92;935;455;480;;25899
60;64;1;0;54;5405;109;Risum-Lindholm;36,03; 3 626; 1 797; 1 829;;25920
60;64;1;0;54;5405;126;Stedesand;15,19;865;458;407;;25920
60;64;1;0;54;5405;165;Galmsbüll;49,05;679;335;344;;25899
50;51;1;0;54;5411;;Bredstedt-Land;;;;;;
60;64;1;0;54;5411;2;Ahrenshöft;8,65;523;275;248;;25853
60;64;1;0;54;5411;6;Almdorf;5,7;541;279;262;;25821
60;64;1;0;54;5411;12;Bohmstedt;13,35;766;386;380;;25853
60;64;1;0;54;5411;20;Breklum;10,06; 2 338; 1 132; 1 206;;25821
60;64;1;0;54;5411;24;Drelsdorf;17,7; 1 291;654;637;;25853
60;64;1;0;54;5411;37;Goldebek;10,18;351;180;171;;25862
60;64;1;0;54;5411;38;Goldelund;12,02;398;201;197;;25862
60;64;1;0;54;5411;45;Högel;16,28;452;225;227;;25858
60;64;1;0;54;5411;59;Joldelund;19,12;741;370;371;;25862
60;64;1;0;54;5411;71;Kolkerheide;2,1;64;33;31;;25862
60;64;1;0;54;5411;80;Lütjenholm;10,71;330;166;164;;25842
60;64;1;0;54;5411;121;Sönnebüll;4,12;229;112;117;;25821
60;64;1;0;54;5411;128;Struckum;8,92; 1 004;513;491;;25821
60;64;1;0;54;5411;146;Vollstedt;6,18;167;79;88;;25821
50;51;1;0;54;5417;;Eiderstedt;;;;;;
60;64;1;0;54;5417;35;Garding, Kirchspiel;14,89;329;159;170;;25836
60;64;1;0;54;5417;40;Grothusenkoog;3,27;21;9;12;;25836
60;64;1;0;54;5417;63;Katharinenheerd;8,4;190;87;103;;25836
60;64;1;0;54;5417;72;Kotzenbüll;7,77;237;126;111;;25832
60;64;1;0;54;5417;90;Norderfriedrichskoog;5,31;34;19;15;;25870
60;64;1;0;54;5417;95;Oldenswort;45,84; 1 301;645;656;;25870
60;64;1;0;54;5417;100;Osterhever;18,43;251;116;135;;25836
60;64;1;0;54;5417;104;Poppenbüll;15,52;203;104;99;;25836
60;64;1;0;54;5417;134;Tating;29,49;984;491;493;;25881
60;64;1;0;54;5417;135;Tetenbüll;36,48;634;297;337;;25882
60;64;1;0;54;5417;140;Tümlauer Koog;6,2;109;56;53;;25881
60;64;1;0;54;5417;145;Vollerwiek;4,62;230;121;109;;25836
60;64;1;0;54;5417;148;Welt;8,2;223;112;111;;25836
60;64;1;0;54;5417;150;Westerhever;13,21;130;66;64;;25881
50;51;1;0;54;5419;;Föhr-Land;;;;;;
60;64;1;0;54;5419;5;Alkersum;9,07;426;186;240;;25938
60;64;1;0;54;5419;15;Borgsum;5,51;340;179;161;;25938
60;64;1;0;54;5419;25;Dunsum;2,72;81;40;41;;25938
60;64;1;0;54;5419;83;Midlum;8,5;358;170;188;;25938
60;64;1;0;54;5419;87;Nieblum;7,86;621;292;329;;25938
60;64;1;0;54;5419;94;Oevenum;10,87;481;227;254;;25938
60;64;1;0;54;5419;98;Oldsum;13,3;563;239;324;;25938
60;64;1;0;54;5419;129;Süderende;2,59;180;81;99;;25938
60;64;1;0;54;5419;143;Utersum;5,26;406;183;223;;25938
60;64;1;0;54;5419;158;Witsum;1,59;47;19;28;;25938
60;64;1;0;54;5419;163;Wrixum;7,55;659;329;330;;25938
50;51;1;0;54;5420;;Friedrichstadt;;;;;;
60;64;1;0;54;5420;23;Drage;16,36;593;264;329;;25878
60;63;1;0;54;5420;33;Friedrichstadt, Stadt;4,03; 2 457; 1 144; 1 313;;25840
60;64;1;0;54;5420;70;Koldenbüttel;25,77;933;449;484;;25840
60;64;1;0;54;5420;119;Seeth;13,56;717;434;283;;25878
60;64;1;0;54;5420;141;Uelvesbüll;10,23;272;133;139;;25889
60;64;1;0;54;5420;161;Witzwort;28,14;971;485;486;;25889
50;51;1;0;54;5426;;Hattstedt;;;;;;
60;64;1;0;54;5426;7;Arlewatt;5,68;335;181;154;;25860
60;64;1;0;54;5426;42;Hattstedt;7; 2 473; 1 216; 1 257;;25856
60;64;1;0;54;5426;43;Hattstedtermarsch;35,28;323;172;151;;25856
60;64;1;0;54;5426;52;Horstedt;11,7;750;379;371;;25860
60;64;1;0;54;5426;97;Olderup;9,95;451;240;211;;25860
60;64;1;0;54;5426;115;Schobüll;7,8; 1 590;747;843;;25875
60;64;1;0;54;5426;162;Wobbenbüll;1,69;475;238;237;;25856
50;51;1;0;54;5433;;Karrharde;;;;;;
60;64;1;0;54;5433;1;Achtrup;29,9; 1 558;812;746;;25917
60;64;1;0;54;5433;18;Bramstedtlund;13,85;232;121;111;;25926
60;64;1;0;54;5433;62;Karlum;14,46;213;105;108;;25926
60;64;1;0;54;5433;68;Klixbüll;17,44;937;490;447;;25899
