Gemeinden in Deutschland nach Fläche und Bevölkerung am 31.12.1980;;;;;;;;;;;;
;;;;;;;;;;;;
Satz-art;;Gemeindeschlüssel;;;;;Gemeindename;Fläche km2  ;Bevölkerung;;;
;;Land;RB;Kreis;;Gem;;;insgesamt;männlich;weiblich;je km2
;;Gebietsstand am 31.12.1980;;;;;;am 31.12.1980 (Jahr);;;;
;;;;;;;;;;;;
60;;7;2;32;;225;Gilzem;4,98;376;181;195;76
60;;7;2;32;;226;Weinsheim;24,02;799;380;419;33
60;;7;2;32;;227;Gondenbrett;23,03;516;251;265;22
60;;7;2;32;;228;Gransdorf;7,1;297;145;152;42
60;;7;2;32;;229;Grosskampenberg;6,31;193;90;103;31
60;;7;2;32;;230;Grosslangenfeld;6,95;180;95;85;26
60;;7;2;32;;231;Habscheid;17,56;571;290;281;33
60;;7;2;32;;233;Hargarten;2;84;47;37;42
60;;7;2;32;;234;Harspelt;4,82;90;49;41;19
60;;7;2;32;;236;Heckhuscheid;8,28;176;84;92;21
60;;7;2;32;;238;Heisdorf;3,91;105;49;56;27
60;;7;2;32;;240;Herzfeld;2,67;52;26;26;19
60;;7;2;32;;245;Irrhausen;7,15;270;135;135;38
60;;7;2;32;;246;Jucken;6,17;200;75;125;32
60;;7;2;32;;247;Kesfeld;4,47;94;59;35;21
60;;7;2;32;;248;Kickeshausen;1,53;42;20;22;27
60;;7;2;32;;249;Kinzenburg;1,21;58;26;32;48
60;;7;2;32;;250;Kleinlangenfeld;7,82;139;71;68;18
60;;7;2;32;;253;Krautscheid;8,59;317;180;137;37
60;;7;2;32;;254;Lambertsberg;3,66;262;133;129;72
60;;7;2;32;;255;Lascheid;3,47;116;59;57;33
60;;7;2;32;;256;Lasel;4,51;320;150;170;71
60;;7;2;32;;258;Lauperath;5,77;132;62;70;23
60;;7;2;32;;259;Leidenborn;5,57;182;88;94;33
60;;7;2;32;;260;Lichtenborn;11,43;437;225;212;38
60;;7;2;32;;261;Lierfeld;1,71;80;32;48;47
60;;7;2;32;;262;Lünebach;10,27;635;304;331;62
60;;7;2;32;;263;Lützkampen;10,98;483;234;249;44
60;;7;2;32;;264;Manderscheid;4,24;62;32;30;15
60;;7;2;32;;265;Masthorn;4,53;70;34;36;15
60;;7;2;32;;266;Matzerath;4,31;89;46;43;21
60;;7;2;32;;267;Mauel;5,08;124;58;66;24
60;;7;2;32;;269;Merkeshausen;4,25;19;5;14;4
60;;7;2;32;;270;Merlscheid;3,52;51;22;29;14
60;;7;2;32;;271;Mützenich;6,43;131;60;71;20
60;;7;2;32;;272;Neuendorf;5,71;107;52;55;19
60;;7;2;32;;273;Neuheilenbach;0,96;223;113;110;232
60;;7;2;32;;276;Niederlauch;0,79;48;21;27;61
60;;7;2;32;;277;Niederpierscheid;1,64;42;22;20;26
60;;7;2;32;;279;Nimshuscheid;5,06;303;156;147;60
60;;7;2;32;;280;Nimsreuland;4,43;87;40;47;20
